,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
2314,"Montgomery County, Maryland",22,,All establishments,All establishments,2021,22,"47,616","14,655",419,Utilities
2317,"Montgomery County, Maryland",23,,All establishments,All establishments,2021,"2,323","1,986,087","443,271","26,212",Construction
2326,"Montgomery County, Maryland",31-33,,All establishments,All establishments,2021,346,"582,921","142,263","5,806",Manufacturing
2333,"Montgomery County, Maryland",42,,All establishments,All establishments,2021,688,"1,265,073","345,544","9,974",Wholesale trade
2341,"Montgomery County, Maryland",44-45,,All establishments,All establishments,2021,"2,410","1,705,915","381,878","43,187",Retail trade
2349,"Montgomery County, Maryland",48-49,,All establishments,All establishments,2021,377,"183,599","38,716","4,507",Transportation and warehousing
2357,"Montgomery County, Maryland",51,,All establishments,All establishments,2021,640,"1,646,524","463,539","13,682",Information
2366,"Montgomery County, Maryland",52,,All establishments,All establishments,2021,"1,505","3,320,117","1,143,880","21,669",Finance and insurance
2374,"Montgomery County, Maryland",53,,All establishments,All establishments,2021,"1,638","1,139,622","303,276","11,096",Real estate and rental and leasing
2381,"Montgomery County, Maryland",54,,All establishments,All establishments,2021,"5,865","9,585,244","2,325,469","81,930","Professional, scientific, and technical services"
2392,"Montgomery County, Maryland",55,,All establishments,All establishments,2021,602,"1,912,689","481,261","13,066",Management of companies and enterprises
2401,"Montgomery County, Maryland",56,,All establishments,All establishments,2021,"1,826","2,134,951","502,850","41,225",Administrative and support and waste management and remediation services
2411,"Montgomery County, Maryland",61,,All establishments,All establishments,2021,594,"659,781","148,465","10,607",Educational services
2419,"Montgomery County, Maryland",62,,All establishments,All establishments,2021,"3,887","4,387,014","1,017,642","72,707",Health care and social assistance
2430,"Montgomery County, Maryland",71,,All establishments,All establishments,2021,407,"225,860","39,914","6,052","Arts, entertainment, and recreation"
2437,"Montgomery County, Maryland",72,,All establishments,All establishments,2021,"1,882","789,814","157,429","27,694",Accommodation and food services
2444,"Montgomery County, Maryland",81,,All establishments,All establishments,2021,"2,510","1,688,302","411,229","23,762",Other services (except public administration)
2453,"Montgomery County, Maryland",99,,All establishments,All establishments,2021,43,"2,990",628,62,Industries not classified
2456,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
2457,"Santa Clara County, California",0,Total for all sectors,All establishments,All establishments,2019,"49,035","148,407,685","37,265,751","1,102,219",
2467,"Santa Clara County, California",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2019,26,"10,927","2,548",226,
2470,"Santa Clara County, California",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2019,12,"15,299","3,590",134,
2473,"Santa Clara County, California",22,Utilities,All establishments,All establishments,2019,25,"272,318","72,553","1,978",
2476,"Santa Clara County, California",23,Construction,All establishments,All establishments,2019,"3,674","4,790,361","1,120,671","52,400",
2486,"Santa Clara County, California",31-33,Manufacturing,All establishments,All establishments,2019,"2,136","10,347,631","2,810,902","85,171",
2496,"Santa Clara County, California",42,Wholesale trade,All establishments,All establishments,2019,"2,400","15,197,729","3,813,560","77,096",
2506,"Santa Clara County, California",44-45,Retail trade,All establishments,All establishments,2019,"4,457","3,506,650","903,053","81,928",
2515,"Santa Clara County, California",48-49,Transportation and warehousing,All establishments,All establishments,2019,680,"752,324","189,466","13,081",
2524,"Santa Clara County, California",51,Information,All establishments,All establishments,2019,"1,933","39,477,385","10,826,325","140,919",
2534,"Santa Clara County, California",52,Finance and insurance,All establishments,All establishments,2019,"2,390","4,737,616","1,669,784","26,371",
2542,"Santa Clara County, California",53,Real estate and rental and leasing,All establishments,All establishments,2019,"2,971","1,434,864","382,913","16,283",
2550,"Santa Clara County, California",54,"Professional, scientific, and technical services",All establishments,All establishments,2019,"8,902","23,379,250","5,787,208","145,806",
2560,"Santa Clara County, California",55,Management of companies and enterprises,All establishments,All establishments,2019,264,"21,591,016","4,116,274","78,683",
2570,"Santa Clara County, California",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2019,"2,238","3,211,466","785,138","63,318",
2580,"Santa Clara County, California",61,Educational services,All establishments,All establishments,2019,"1,139","4,311,402","1,105,919","54,340",
2588,"Santa Clara County, California",62,Health care and social assistance,All establishments,All establishments,2019,"5,926","10,415,455","2,520,244","118,072",
2598,"Santa Clara County, California",71,"Arts, entertainment, and recreation",All establishments,All establishments,2019,699,"825,877","156,920","19,073",
2606,"Santa Clara County, California",72,Accommodation and food services,All establishments,All establishments,2019,"5,217","2,744,659","653,363","95,778",
2615,"Santa Clara County, California",81,Other services (except public administration),All establishments,All establishments,2019,"3,875","1,381,374","344,689","31,472",
2623,"Santa Clara County, California",99,Industries not classified,All establishments,All establishments,2019,71,"4,082",631,90,
2626,"Santa Clara County, California",0,Total for all sectors,All establishments,All establishments,2020,"49,013","165,113,675","40,496,644","1,129,499",
2640,"Santa Clara County, California",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2020,24,"12,145","2,999",257,
2644,"Santa Clara County, California",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2020,11,"14,384","3,911",140,
2647,"Santa Clara County, California",22,Utilities,All establishments,All establishments,2020,27,"314,749","80,001","2,019",
2651,"Santa Clara County, California",23,Construction,All establishments,All establishments,2020,"3,724","4,515,338","1,153,510","52,288",
2661,"Santa Clara County, California",31-33,Manufacturing,All establishments,All establishments,2020,"2,069","10,771,607","3,008,903","86,632",
2674,"Santa Clara County, California",42,Wholesale trade,All establishments,All establishments,2020,"2,306","15,723,690","3,888,476","78,661",
2686,"Santa Clara County, California",44-45,Retail trade,All establishments,All establishments,2020,"4,358","3,536,751","899,679","81,366",
2695,"Santa Clara County, California",48-49,Transportation and warehousing,All establishments,All establishments,2020,766,"787,804","210,444","14,741",
2704,"Santa Clara County, California",51,Information,All establishments,All establishments,2020,"1,929","45,723,790","11,952,156","149,287",
2717,"Santa Clara County, California",52,Finance and insurance,All establishments,All establishments,2020,"2,374","5,002,356","1,826,549","27,182",
2725,"Santa Clara County, California",53,Real estate and rental and leasing,All establishments,All establishments,2020,"3,052","1,531,357","415,658","16,429",
2733,"Santa Clara County, California",54,"Professional, scientific, and technical services",All establishments,All establishments,2020,"8,977","26,353,025","6,439,204","154,546",
2744,"Santa Clara County, California",55,Management of companies and enterprises,All establishments,All establishments,2020,262,"28,123,341","4,645,433","86,091",
2757,"Santa Clara County, California",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2020,"2,272","3,705,481","891,154","59,564",
2767,"Santa Clara County, California",61,Educational services,All establishments,All establishments,2020,"1,170","4,404,836","1,092,829","57,339",
2775,"Santa Clara County, California",62,Health care and social assistance,All establishments,All establishments,2020,"6,075","10,579,558","2,768,975","118,836",
2789,"Santa Clara County, California",71,"Arts, entertainment, and recreation",All establishments,All establishments,2020,719,"717,504","185,313","19,953",
2798,"Santa Clara County, California",72,Accommodation and food services,All establishments,All establishments,2020,"5,008","1,987,268","662,823","92,647",
2807,"Santa Clara County, California",81,Other services (except public administration),All establishments,All establishments,2020,"3,805","1,305,694","368,098","31,436",
2815,"Santa Clara County, California",99,Industries not classified,All establishments,All establishments,2020,85,"2,997",529,85,
2818,"Santa Clara County, California",0,,All establishments,All establishments,2021,"48,749","194,044,418","45,337,999","1,057,178",Total for all sectors
2832,"Santa Clara County, California",11,,All establishments,All establishments,2021,28,"12,894","2,873",259,"Agriculture, forestry, fishing and hunting"
2836,"Santa Clara County, California",21,,All establishments,All establishments,2021,10,"13,724","3,247",124,"Mining, quarrying, and oil and gas extraction"
2838,"Santa Clara County, California",22,,All establishments,All establishments,2021,27,"355,580","86,744","2,322",Utilities
2841,"Santa Clara County, California",23,,All establishments,All establishments,2021,"3,809","4,759,869","1,130,084","49,575",Construction
2851,"Santa Clara County, California",31-33,,All establishments,All establishments,2021,"2,028","13,738,625","3,822,285","88,625",Manufacturing
2864,"Santa Clara County, California",42,,All establishments,All establishments,2021,"2,240","15,718,154","3,853,449","69,869",Wholesale trade
2876,"Santa Clara County, California",44-45,,All establishments,All establishments,2021,"4,315","3,801,684","843,532","76,672",Retail trade
2885,"Santa Clara County, California",48-49,,All establishments,All establishments,2021,804,"815,470","187,420","14,389",Transportation and warehousing
2893,"Santa Clara County, California",51,,All establishments,All establishments,2021,"1,959","54,328,221","13,279,429","143,850",Information
2906,"Santa Clara County, California",52,,All establishments,All establishments,2021,"2,394","5,933,498","2,445,104","26,406",Finance and insurance
2914,"Santa Clara County, California",53,,All establishments,All establishments,2021,"3,100","1,585,530","384,646","15,188",Real estate and rental and leasing
2922,"Santa Clara County, California",54,,All establishments,All establishments,2021,"8,891","34,511,523","8,089,463","160,339","Professional, scientific, and technical services"
2934,"Santa Clara County, California",55,,All establishments,All establishments,2021,256,"33,440,985","5,473,984","80,305",Management of companies and enterprises
2944,"Santa Clara County, California",56,,All establishments,All establishments,2021,"2,249","4,501,337","962,191","57,479",Administrative and support and waste management and remediation services
2954,"Santa Clara County, California",61,,All establishments,All establishments,2021,"1,154","4,610,805","1,124,517","53,186",Educational services
2964,"Santa Clara County, California",62,,All establishments,All establishments,2021,"6,098","11,597,432","2,796,795","115,980",Health care and social assistance
2977,"Santa Clara County, California",71,,All establishments,All establishments,2021,693,"742,295","101,256","9,271","Arts, entertainment, and recreation"
2985,"Santa Clara County, California",72,,All establishments,All establishments,2021,"4,933","2,205,550","433,792","68,454",Accommodation and food services
2993,"Santa Clara County, California",81,,All establishments,All establishments,2021,"3,674","1,364,427","316,435","24,782",Other services (except public administration)
3000,"Santa Clara County, California",99,,All establishments,All establishments,2021,87,"6,815",753,103,Industries not classified
3003,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
3004,"Wake County, North Carolina",0,Total for all sectors,All establishments,All establishments,2019,"30,266","29,620,559","7,515,502","497,013",
3014,"Wake County, North Carolina",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2019,26,"7,397","1,541",176,
3017,"Wake County, North Carolina",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2019,10,"19,883","5,608",227,
3019,"Wake County, North Carolina",22,Utilities,All establishments,All establishments,2019,79,"341,776","126,814","3,218",
3027,"Wake County, North Carolina",23,Construction,All establishments,All establishments,2019,"2,940","1,858,296","439,646","30,631",
3035,"Wake County, North Carolina",31-33,Manufacturing,All establishments,All establishments,2019,588,"895,546","220,702","14,514",
3044,"Wake County, North Carolina",42,Wholesale trade,All establishments,All establishments,2019,"1,380","2,802,172","662,551","28,375",
3053,"Wake County, North Carolina",44-45,Retail trade,All establishments,All establishments,2019,"3,462","1,789,661","440,286","61,530",
3061,"Wake County, North Carolina",48-49,Transportation and warehousing,All establishments,All establishments,2019,541,"485,386","120,647","10,829",
3069,"Wake County, North Carolina",51,Information,All establishments,All establishments,2019,686,"3,320,633","942,405","28,772",
3078,"Wake County, North Carolina",52,Finance and insurance,All establishments,All establishments,2019,"1,800","2,757,219","850,010","27,661",
3088,"Wake County, North Carolina",53,Real estate and rental and leasing,All establishments,All establishments,2019,"1,910","588,449","143,557","9,793",
3095,"Wake County, North Carolina",54,"Professional, scientific, and technical services",All establishments,All establishments,2019,"5,016","5,972,315","1,411,096","60,348",
3104,"Wake County, North Carolina",55,Management of companies and enterprises,All establishments,All establishments,2019,291,"987,337","302,116","9,565",
3111,"Wake County, North Carolina",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2019,"1,956","1,727,433","404,282","40,295",
3120,"Wake County, North Carolina",61,Educational services,All establishments,All establishments,2019,553,"419,553","102,304","11,438",
3128,"Wake County, North Carolina",62,Health care and social assistance,All establishments,All establishments,2019,"3,191","3,492,369","816,226","66,300",
3138,"Wake County, North Carolina",71,"Arts, entertainment, and recreation",All establishments,All establishments,2019,507,"296,856","84,363","12,730",
3146,"Wake County, North Carolina",72,Accommodation and food services,All establishments,All establishments,2019,"2,559","1,067,427","252,407","57,187",
3154,"Wake County, North Carolina",81,Other services (except public administration),All establishments,All establishments,2019,"2,733","788,857","188,409","23,364",
3162,"Wake County, North Carolina",99,Industries not classified,All establishments,All establishments,2019,38,"1,994",532,60,
3164,"Wake County, North Carolina",0,Total for all sectors,All establishments,All establishments,2020,"30,855","30,084,000","7,892,464","507,958",
3177,"Wake County, North Carolina",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2020,26,"8,404","1,736",192,
3180,"Wake County, North Carolina",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2020,12,"21,375","6,011",222,
3183,"Wake County, North Carolina",22,Utilities,All establishments,All establishments,2020,80,"343,487","125,935","3,146",
3191,"Wake County, North Carolina",23,Construction,All establishments,All establishments,2020,"3,006","1,971,714","489,966","32,586",
3199,"Wake County, North Carolina",31-33,Manufacturing,All establishments,All establishments,2020,591,"1,010,762","253,647","15,348",
3208,"Wake County, North Carolina",42,Wholesale trade,All establishments,All establishments,2020,"1,398","2,478,868","622,227","26,916",
3216,"Wake County, North Carolina",44-45,Retail trade,All establishments,All establishments,2020,"3,447","1,848,153","450,340","61,113",
3224,"Wake County, North Carolina",48-49,Transportation and warehousing,All establishments,All establishments,2020,581,"492,429","127,398","11,799",
3232,"Wake County, North Carolina",51,Information,All establishments,All establishments,2020,728,"3,437,294","931,870","29,958",
3242,"Wake County, North Carolina",52,Finance and insurance,All establishments,All establishments,2020,"1,823","3,003,027","943,327","29,147",
3252,"Wake County, North Carolina",53,Real estate and rental and leasing,All establishments,All establishments,2020,"2,040","605,574","151,943","10,104",
3259,"Wake County, North Carolina",54,"Professional, scientific, and technical services",All establishments,All establishments,2020,"5,132","6,094,306","1,546,734","63,404",
3269,"Wake County, North Carolina",55,Management of companies and enterprises,All establishments,All establishments,2020,284,"983,811","299,858","10,507",
3277,"Wake County, North Carolina",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2020,"2,016","1,842,838","430,766","40,046",
3286,"Wake County, North Carolina",61,Educational services,All establishments,All establishments,2020,556,"437,921","106,924","11,852",
3294,"Wake County, North Carolina",62,Health care and social assistance,All establishments,All establishments,2020,"3,245","3,608,072","851,363","67,477",
3304,"Wake County, North Carolina",71,"Arts, entertainment, and recreation",All establishments,All establishments,2020,510,"232,581","92,595","13,367",
3312,"Wake County, North Carolina",72,Accommodation and food services,All establishments,All establishments,2020,"2,554","886,735","262,625","57,348",
3320,"Wake County, North Carolina",81,Other services (except public administration),All establishments,All establishments,2020,"2,796","775,287","196,951","23,397",
3328,"Wake County, North Carolina",99,Industries not classified,All establishments,All establishments,2020,30,"1,362",248,29,
3330,"Wake County, North Carolina",0,,All establishments,All establishments,2021,"32,026","34,259,007","8,286,212","497,107",Total for all sectors
3343,"Wake County, North Carolina",11,,All establishments,All establishments,2021,25,"7,924","1,624",180,"Agriculture, forestry, fishing and hunting"
3345,"Wake County, North Carolina",21,,All establishments,All establishments,2021,13,"23,684","6,818",215,"Mining, quarrying, and oil and gas extraction"
3349,"Wake County, North Carolina",22,,All establishments,All establishments,2021,82,"344,094","126,550","3,110",Utilities
3357,"Wake County, North Carolina",23,,All establishments,All establishments,2021,"3,155","2,241,984","505,609","33,295",Construction
3366,"Wake County, North Carolina",31-33,,All establishments,All establishments,2021,587,"1,100,258","251,441","14,918",Manufacturing
3375,"Wake County, North Carolina",42,,All establishments,All establishments,2021,"1,419","2,776,485","685,052","26,648",Wholesale trade
3383,"Wake County, North Carolina",44-45,,All establishments,All establishments,2021,"3,570","2,132,182","490,143","64,512",Retail trade
3391,"Wake County, North Carolina",48-49,,All establishments,All establishments,2021,698,"524,757","119,162","11,841",Transportation and warehousing
3399,"Wake County, North Carolina",51,,All establishments,All establishments,2021,733,"4,343,219","1,062,708","28,468",Information
3409,"Wake County, North Carolina",52,,All establishments,All establishments,2021,"1,819","3,174,480","1,010,221","28,905",Finance and insurance
3419,"Wake County, North Carolina",53,,All establishments,All establishments,2021,"2,190","657,489","149,439","9,538",Real estate and rental and leasing
3426,"Wake County, North Carolina",54,,All establishments,All establishments,2021,"5,404","6,590,859","1,507,357","62,030","Professional, scientific, and technical services"
3436,"Wake County, North Carolina",55,,All establishments,All establishments,2021,293,"1,089,570","314,852","10,879",Management of companies and enterprises
3444,"Wake County, North Carolina",56,,All establishments,All establishments,2021,"2,090","2,068,938","463,714","40,249",Administrative and support and waste management and remediation services
3454,"Wake County, North Carolina",61,,All establishments,All establishments,2021,571,"463,254","108,318","11,116",Educational services
3463,"Wake County, North Carolina",62,,All establishments,All establishments,2021,"3,386","4,498,842","997,617","72,728",Health care and social assistance
3473,"Wake County, North Carolina",71,,All establishments,All establishments,2021,537,"305,736","74,113","8,287","Arts, entertainment, and recreation"
3480,"Wake County, North Carolina",72,,All establishments,All establishments,2021,"2,576","1,076,366","219,535","48,605",Accommodation and food services
3488,"Wake County, North Carolina",81,,All establishments,All establishments,2021,"2,854","837,927","191,643","21,546",Other services (except public administration)
3496,"Wake County, North Carolina",99,,All establishments,All establishments,2021,24,959,296,37,Industries not classified
3498,,,,,,,,,,,
