Label (Grouping),"Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Median earnings (dollars)!!Estimate","Santa Clara County, California!!Median earnings (dollars) for male!!Estimate","Santa Clara County, California!!Median earnings (dollars) for female!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Median earnings (dollars)!!Estimate","Montgomery County, Maryland!!Median earnings (dollars) for male!!Estimate","Montgomery County, Maryland!!Median earnings (dollars) for female!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Median earnings (dollars)!!Estimate","Wake County, North Carolina!!Median earnings (dollars) for male!!Estimate","Wake County, North Carolina!!Median earnings (dollars) for female!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Median earnings (dollars)!!Estimate","Davidson County, Tennessee!!Median earnings (dollars) for male!!Estimate","Davidson County, Tennessee!!Median earnings (dollars) for female!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Median earnings (dollars)!!Estimate","Dallas County, Texas!!Median earnings (dollars) for male!!Estimate","Dallas County, Texas!!Median earnings (dollars) for female!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Median earnings (dollars)!!Estimate","Fairfax County, Virginia!!Median earnings (dollars) for male!!Estimate","Fairfax County, Virginia!!Median earnings (dollars) for female!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Median earnings (dollars)!!Estimate","Loudoun County, Virginia!!Median earnings (dollars) for male!!Estimate","Loudoun County, Virginia!!Median earnings (dollars) for female!!Estimate"
"Management, business, science, and arts occupations:","504,290","284,719",56.5%,"219,571",43.5%,"309,332","156,921",50.7%,"152,411",49.3%,"258,535","130,332",50.4%,"128,203",49.6%,"145,072","66,485",45.8%,"78,587",54.2%,"422,547","203,701",48.2%,"218,846",51.8%,"336,897","180,103",53.5%,"156,794",46.5%,"115,638","62,926",54.4%,"52,712",45.6%,,,,,,,
"    Management, business, and financial occupations:","195,924","106,315",54.3%,"89,609",45.7%,"125,409","67,932",54.2%,"57,477",45.8%,"109,845","60,340",54.9%,"49,505",45.1%,"56,966","28,325",49.7%,"28,641",50.3%,"191,478","100,865",52.7%,"90,613",47.3%,"149,227","80,785",54.1%,"68,442",45.9%,"54,177","30,957",57.1%,"23,220",42.9%,,,,,,,
        Management occupations,"134,156","81,315",60.6%,"52,841",39.4%,"79,912","46,414",58.1%,"33,498",41.9%,"72,690","44,007",60.5%,"28,683",39.5%,"35,908","18,431",51.3%,"17,477",48.7%,"115,945","68,506",59.1%,"47,439",40.9%,"95,640","55,003",57.5%,"40,637",42.5%,"35,445","22,433",63.3%,"13,012",36.7%,,,,,,,
        Business and financial operations occupations,"61,768","25,000",40.5%,"36,768",59.5%,"45,497","21,518",47.3%,"23,979",52.7%,"37,155","16,333",44.0%,"20,822",56.0%,"21,058","9,894",47.0%,"11,164",53.0%,"75,533","32,359",42.8%,"43,174",57.2%,"53,587","25,782",48.1%,"27,805",51.9%,"18,732","8,524",45.5%,"10,208",54.5%,,,,,,,
"    Computer, engineering, and science occupations:","175,129","133,064",76.0%,"42,065",24.0%,"69,405","46,479",67.0%,"22,926",33.0%,"60,005","44,744",74.6%,"15,261",25.4%,"16,331","11,167",68.4%,"5,164",31.6%,"63,081","45,557",72.2%,"17,524",27.8%,"83,102","60,197",72.4%,"22,905",27.6%,"32,817","24,071",73.3%,"8,746",26.7%,,,,,,,
        Computer and mathematical occupations,"104,138","80,650",77.4%,"23,488",22.6%,"33,165","23,918",72.1%,"9,247",27.9%,"37,018","29,592",79.9%,"7,426",20.1%,"9,483","6,728",70.9%,"2,755",29.1%,"40,419","28,923",71.6%,"11,496",28.4%,"61,284","43,919",71.7%,"17,365",28.3%,"24,447","17,587",71.9%,"6,860",28.1%,,,,,,,
        Architecture and engineering occupations,"56,358","45,211",80.2%,"11,147",19.8%,"13,466","10,939",81.2%,"2,527",18.8%,"13,024","10,441",80.2%,"2,583",19.8%,"4,235","3,254",76.8%,981,23.2%,"16,030","13,241",82.6%,"2,789",17.4%,"13,807","11,376",82.4%,"2,431",17.6%,"5,743","4,874",84.9%,869,15.1%,,,,,,,
"        Life, physical, and social science occupations","14,633","7,203",49.2%,"7,430",50.8%,"22,774","11,622",51.0%,"11,152",49.0%,"9,963","4,711",47.3%,"5,252",52.7%,"2,613","1,185",45.4%,"1,428",54.6%,"6,632","3,393",51.2%,"3,239",48.8%,"8,011","4,902",61.2%,"3,109",38.8%,"2,627","1,610",61.3%,"1,017",38.7%,,,,,,,
"    Education, legal, community service, arts, and media occupations:","94,956","36,158",38.1%,"58,798",61.9%,"83,719","32,663",39.0%,"51,056",61.0%,"61,090","18,353",30.0%,"42,737",70.0%,"48,759","19,997",41.0%,"28,762",59.0%,"113,989","41,389",36.3%,"72,600",63.7%,"76,722","31,283",40.8%,"45,439",59.2%,"21,242","6,373",30.0%,"14,869",70.0%,,,,,,,
        Community and social services occupations,"11,673","4,264",36.5%,"7,409",63.5%,"10,730","3,457",32.2%,"7,273",67.8%,"7,721","2,228",28.9%,"5,493",71.1%,"6,548","2,618",40.0%,"3,930",60.0%,"14,081","5,346",38.0%,"8,735",62.0%,"7,959","3,103",39.0%,"4,856",61.0%,"1,455",537,36.9%,918,63.1%,,,,,,,
        Legal occupations,"11,022","5,295",48.0%,"5,727",52.0%,"16,869","9,856",58.4%,"7,013",41.6%,"6,048","2,795",46.2%,"3,253",53.8%,"5,419","2,497",46.1%,"2,922",53.9%,"16,784","9,134",54.4%,"7,650",45.6%,"17,290","11,361",65.7%,"5,929",34.3%,"3,149","1,207",38.3%,"1,942",61.7%,,,,,,,
"        Education, training, and library occupations","51,693","14,773",28.6%,"36,920",71.4%,"36,132","10,204",28.2%,"25,928",71.8%,"36,606","8,229",22.5%,"28,377",77.5%,"22,820","5,870",25.7%,"16,950",74.3%,"56,933","14,384",25.3%,"42,549",74.7%,"35,774","10,002",28.0%,"25,772",72.0%,"11,689","2,170",18.6%,"9,519",81.4%,,,,,,,
"        Arts, design, entertainment, sports, and media occupations","20,568","11,826",57.5%,"8,742",42.5%,"19,988","9,146",45.8%,"10,842",54.2%,"10,715","5,101",47.6%,"5,614",52.4%,"13,972","9,012",64.5%,"4,960",35.5%,"26,191","12,525",47.8%,"13,666",52.2%,"15,699","6,817",43.4%,"8,882",56.6%,"4,949","2,459",49.7%,"2,490",50.3%,,,,,,,
    Healthcare practitioner and technical occupations:,"38,281","9,182",24.0%,"29,099",76.0%,"30,799","9,847",32.0%,"20,952",68.0%,"27,595","6,895",25.0%,"20,700",75.0%,"23,016","6,996",30.4%,"16,020",69.6%,"53,999","15,890",29.4%,"38,109",70.6%,"27,846","7,838",28.1%,"20,008",71.9%,"7,402","1,525",20.6%,"5,877",79.4%,,,,,,,
        Health diagnosing and treating practitioners and other technical occupations,"28,852","6,861",23.8%,"21,991",76.2%,"23,402","8,010",34.2%,"15,392",65.8%,"19,612","4,761",24.3%,"14,851",75.7%,"18,064","5,071",28.1%,"12,993",71.9%,"36,846","11,741",31.9%,"25,105",68.1%,"21,491","6,765",31.5%,"14,726",68.5%,"5,514",945,17.1%,"4,569",82.9%,,,,,,,
        Health technologists and technicians,"9,429","2,321",24.6%,"7,108",75.4%,"7,397","1,837",24.8%,"5,560",75.2%,"7,983","2,134",26.7%,"5,849",73.3%,"4,952","1,925",38.9%,"3,027",61.1%,"17,153","4,149",24.2%,"13,004",75.8%,"6,355","1,073",16.9%,"5,282",83.1%,"1,888",580,30.7%,"1,308",69.3%,,,,,,,
Service occupations:,"154,201","64,835",42.0%,"89,366",58.0%,"91,181","36,646",40.2%,"54,535",59.8%,"71,900","31,923",44.4%,"39,977",55.6%,"60,657","27,910",46.0%,"32,747",54.0%,"217,043","91,136",42.0%,"125,907",58.0%,"103,192","44,107",42.7%,"59,085",57.3%,"28,869","12,487",43.3%,"16,382",56.7%,,,,,,,
    Healthcare support occupations,"15,209","3,028",19.9%,"12,181",80.1%,"10,032","2,420",24.1%,"7,612",75.9%,"9,339","1,247",13.4%,"8,092",86.6%,"4,385",525,12.0%,"3,860",88.0%,"24,517","3,366",13.7%,"21,151",86.3%,"8,211","1,562",19.0%,"6,649",81.0%,"2,132",174,8.2%,"1,958",91.8%,,,,,,,
    Protective service occupations:,"13,275","10,459",78.8%,"2,816",21.2%,"9,331","7,341",78.7%,"1,990",21.3%,"7,918","5,493",69.4%,"2,425",30.6%,"6,884","4,868",70.7%,"2,016",29.3%,"19,124","13,417",70.2%,"5,707",29.8%,"12,678","10,072",79.4%,"2,606",20.6%,"4,833","3,378",69.9%,"1,455",30.1%,,,,,,,
"        Fire fighting and prevention, and other protective service workers including supervisors","9,112","7,312",80.2%,"1,800",19.8%,"5,772","4,371",75.7%,"1,401",24.3%,"4,238","3,384",79.8%,854,20.2%,"5,056","3,529",69.8%,"1,527",30.2%,"13,498","9,271",68.7%,"4,227",31.3%,"8,222","6,180",75.2%,"2,042",24.8%,"2,831","1,918",67.7%,913,32.3%,,,,,,,
        Law enforcement workers including supervisors,"4,163","3,147",75.6%,"1,016",24.4%,"3,559","2,970",83.5%,589,16.5%,"3,680","2,109",57.3%,"1,571",42.7%,"1,828","1,339",73.2%,489,26.8%,"5,626","4,146",73.7%,"1,480",26.3%,"4,456","3,892",87.3%,564,12.7%,"2,002","1,460",72.9%,542,27.1%,,,,,,,
    Food preparation and serving related occupations,"47,720","24,113",50.5%,"23,607",49.5%,"26,584","13,690",51.5%,"12,894",48.5%,"25,672","12,581",49.0%,"13,091",51.0%,"22,332","12,679",56.8%,"9,653",43.2%,"77,672","37,859",48.7%,"39,813",51.3%,"34,074","16,754",49.2%,"17,320",50.8%,"9,052","4,862",53.7%,"4,190",46.3%,,,,,,,
    Building and grounds cleaning and maintenance occupations,"35,146","18,045",51.3%,"17,101",48.7%,"22,688","7,873",34.7%,"14,815",65.3%,"15,251","8,828",57.9%,"6,423",42.1%,"12,206","5,940",48.7%,"6,266",51.3%,"55,904","26,944",48.2%,"28,960",51.8%,"21,929","11,316",51.6%,"10,613",48.4%,"4,703","1,854",39.4%,"2,849",60.6%,,,,,,,
    Personal care and service occupations,"42,851","9,190",21.4%,"33,661",78.6%,"22,546","5,322",23.6%,"17,224",76.4%,"13,720","3,774",27.5%,"9,946",72.5%,"14,850","3,898",26.2%,"10,952",73.8%,"39,826","9,550",24.0%,"30,276",76.0%,"26,300","4,403",16.7%,"21,897",83.3%,"8,149","2,219",27.2%,"5,930",72.8%,,,,,,,
Sales and office occupations:,"172,746","75,125",43.5%,"97,621",56.5%,"96,424","39,664",41.1%,"56,760",58.9%,"125,447","55,753",44.4%,"69,694",55.6%,"86,837","34,722",40.0%,"52,115",60.0%,"305,813","122,102",39.9%,"183,711",60.1%,"110,523","47,636",43.1%,"62,887",56.9%,"39,086","17,080",43.7%,"22,006",56.3%,,,,,,,
    Sales and related occupations,"83,478","44,300",53.1%,"39,178",46.9%,"45,810","23,687",51.7%,"22,123",48.3%,"67,219","38,576",57.4%,"28,643",42.6%,"36,091","18,337",50.8%,"17,754",49.2%,"137,094","66,827",48.7%,"70,267",51.3%,"50,556","26,478",52.4%,"24,078",47.6%,"18,649","10,048",53.9%,"8,601",46.1%,,,,,,,
    Office and administrative support occupations,"89,268","30,825",34.5%,"58,443",65.5%,"50,614","15,977",31.6%,"34,637",68.4%,"58,228","17,177",29.5%,"41,051",70.5%,"50,746","16,385",32.3%,"34,361",67.7%,"168,719","55,275",32.8%,"113,444",67.2%,"59,967","21,158",35.3%,"38,809",64.7%,"20,437","7,032",34.4%,"13,405",65.6%,,,,,,,
"Natural resources, construction, and maintenance occupations:","61,531","59,298",96.4%,"2,233",3.6%,"32,922","32,187",97.8%,735,2.2%,"37,370","34,867",93.3%,"2,503",6.7%,"28,282","27,356",96.7%,926,3.3%,"142,722","139,126",97.5%,"3,596",2.5%,"33,906","32,447",95.7%,"1,459",4.3%,"8,581","7,953",92.7%,628,7.3%,,,,,,,
"    Farming, fishing, and forestry occupations","3,197","2,370",74.1%,827,25.9%,899,840,93.4%,59,6.6%,"1,122",777,69.3%,345,30.7%,0,0,-,0,-,"2,575","1,973",76.6%,602,23.4%,541,253,46.8%,288,53.2%,225,94,41.8%,131,58.2%,,,,,,,
    Construction and extraction occupations,"36,989","36,302",98.1%,687,1.9%,"24,702","24,301",98.4%,401,1.6%,"24,852","23,327",93.9%,"1,525",6.1%,"18,842","18,240",96.8%,602,3.2%,"102,236","101,077",98.9%,"1,159",1.1%,"22,811","22,117",97.0%,694,3.0%,"4,797","4,656",97.1%,141,2.9%,,,,,,,
"    Installation, maintenance, and repair occupations","21,345","20,626",96.6%,719,3.4%,"7,321","7,046",96.2%,275,3.8%,"11,396","10,763",94.4%,633,5.6%,"9,440","9,116",96.6%,324,3.4%,"37,911","36,076",95.2%,"1,835",4.8%,"10,554","10,077",95.5%,477,4.5%,"3,559","3,203",90.0%,356,10.0%,,,,,,,
"Production, transportation, and material moving occupations:","74,606","54,196",72.6%,"20,410",27.4%,"26,027","21,204",81.5%,"4,823",18.5%,"35,560","27,700",77.9%,"7,860",22.1%,"42,868","31,061",72.5%,"11,807",27.5%,"166,294","128,678",77.4%,"37,616",22.6%,"28,728","21,948",76.4%,"6,780",23.6%,"11,793","9,507",80.6%,"2,286",19.4%,,,,,,,
    Production occupations,"42,819","28,056",65.5%,"14,763",34.5%,"8,847","6,019",68.0%,"2,828",32.0%,"13,721","9,329",68.0%,"4,392",32.0%,"17,131","10,134",59.2%,"6,997",40.8%,"68,416","47,520",69.5%,"20,896",30.5%,"8,978","5,761",64.2%,"3,217",35.8%,"3,794","2,180",57.5%,"1,614",42.5%,,,,,,,
    Transportation occupations,"18,420","15,255",82.8%,"3,165",17.2%,"13,403","12,160",90.7%,"1,243",9.3%,"14,950","12,091",80.9%,"2,859",19.1%,"11,402","9,951",87.3%,"1,451",12.7%,"49,209","44,003",89.4%,"5,206",10.6%,"14,768","12,531",84.9%,"2,237",15.1%,"5,346","4,736",88.6%,610,11.4%,,,,,,,
Civilian employed population 16 years and over,"1,003,304","560,555",55.9%,"442,749",44.1%,"559,029","287,272",51.4%,"271,757",48.6%,"579,420","302,907",52.3%,"276,513",47.7%,"383,444","194,858",50.8%,"188,586",49.2%,"1,315,440","712,370",54.2%,"603,070",45.8%,"611,782","325,491",53.2%,"286,291",46.8%,"220,064","118,520",53.9%,"101,544",46.1%,,,,,,,
"    Management, business, science, and arts occupations:","557,191","317,330",57.0%,"239,861",43.0%,"320,180","160,321",50.1%,"159,859",49.9%,"309,554","156,787",50.6%,"152,767",49.4%,"170,940","79,986",46.8%,"90,954",53.2%,"480,246","233,583",48.6%,"246,663",51.4%,"360,066","190,329",52.9%,"169,737",47.1%,"131,832","71,257",54.1%,"60,575",45.9%,,,,,,,
"        Management, business, and financial occupations:","200,756","109,319",54.5%,"91,437",45.5%,"122,839","63,719",51.9%,"59,120",48.1%,"131,866","70,679",53.6%,"61,187",46.4%,"68,969","34,395",49.9%,"34,574",50.1%,"217,229","114,551",52.7%,"102,678",47.3%,"156,959","85,398",54.4%,"71,561",45.6%,"59,600","32,330",54.2%,"27,270",45.8%,,,,,,,
            Management occupations,"132,889","80,121",60.3%,"52,768",39.7%,"73,873","40,044",54.2%,"33,829",45.8%,"81,413","47,777",58.7%,"33,636",41.3%,"42,959","22,781",53.0%,"20,178",47.0%,"127,735","73,926",57.9%,"53,809",42.1%,"93,405","54,999",58.9%,"38,406",41.1%,"36,490","21,427",58.7%,"15,063",41.3%,,,,,,,
            Business and financial operations occupations,"67,867","29,198",43.0%,"38,669",57.0%,"48,966","23,675",48.3%,"25,291",51.7%,"50,453","22,902",45.4%,"27,551",54.6%,"26,010","11,614",44.7%,"14,396",55.3%,"89,494","40,625",45.4%,"48,869",54.6%,"63,554","30,399",47.8%,"33,155",52.2%,"23,110","10,903",47.2%,"12,207",52.8%,,,,,,,
"        Computer, engineering, and science occupations:","211,626","158,615",75.0%,"53,011",25.0%,"79,122","52,675",66.6%,"26,447",33.4%,"74,406","53,735",72.2%,"20,671",27.8%,"23,853","16,623",69.7%,"7,230",30.3%,"79,907","58,675",73.4%,"21,232",26.6%,"93,648","65,843",70.3%,"27,805",29.7%,"39,961","29,511",73.8%,"10,450",26.2%,,,,,,,
            Computer and mathematical occupations,"128,048","97,382",76.1%,"30,666",23.9%,"40,980","29,397",71.7%,"11,583",28.3%,"46,167","34,205",74.1%,"11,962",25.9%,"13,908","10,336",74.3%,"3,572",25.7%,"51,122","36,928",72.2%,"14,194",27.8%,"67,202","48,069",71.5%,"19,133",28.5%,"30,204","22,106",73.2%,"8,098",26.8%,,,,,,,
            Architecture and engineering occupations,"66,382","52,680",79.4%,"13,702",20.6%,"13,583","10,674",78.6%,"2,909",21.4%,"17,454","14,009",80.3%,"3,445",19.7%,"5,522","4,583",83.0%,939,17.0%,"21,164","17,774",84.0%,"3,390",16.0%,"15,654","12,282",78.5%,"3,372",21.5%,"7,163","5,818",81.2%,"1,345",18.8%,,,,,,,
"            Life, physical, and social science occupations","17,196","8,553",49.7%,"8,643",50.3%,"24,559","12,604",51.3%,"11,955",48.7%,"10,785","5,521",51.2%,"5,264",48.8%,"4,423","1,704",38.5%,"2,719",61.5%,"7,621","3,973",52.1%,"3,648",47.9%,"10,792","5,492",50.9%,"5,300",49.1%,"2,594","1,587",61.2%,"1,007",38.8%,,,,,,,
"        Education, legal, community service, arts, and media occupations:","100,669","37,147",36.9%,"63,522",63.1%,"85,615","33,385",39.0%,"52,230",61.0%,"69,608","24,559",35.3%,"45,049",64.7%,"52,846","22,259",42.1%,"30,587",57.9%,"122,380","43,836",35.8%,"78,544",64.2%,"82,513","31,691",38.4%,"50,822",61.6%,"24,405","7,349",30.1%,"17,056",69.9%,,,,,,,
            Community and social service occupations,"11,622","3,848",33.1%,"7,774",66.9%,"10,200","3,951",38.7%,"6,249",61.3%,"10,213","3,140",30.7%,"7,073",69.3%,"6,494","2,019",31.1%,"4,475",68.9%,"15,640","5,878",37.6%,"9,762",62.4%,"8,921","2,989",33.5%,"5,932",66.5%,"2,269",440,19.4%,"1,829",80.6%,,,,,,,
            Legal occupations,"11,488","5,104",44.4%,"6,384",55.6%,"18,736","10,142",54.1%,"8,594",45.9%,"8,203","3,682",44.9%,"4,521",55.1%,"6,471","3,071",47.5%,"3,400",52.5%,"18,356","8,932",48.7%,"9,424",51.3%,"16,907","9,952",58.9%,"6,955",41.1%,"2,760","1,735",62.9%,"1,025",37.1%,,,,,,,
"            Educational instruction, and library occupations","56,163","17,085",30.4%,"39,078",69.6%,"37,859","10,622",28.1%,"27,237",71.9%,"36,159","9,960",27.5%,"26,199",72.5%,"23,358","7,539",32.3%,"15,819",67.7%,"63,287","16,484",26.0%,"46,803",74.0%,"38,486","10,555",27.4%,"27,931",72.6%,"14,293","2,947",20.6%,"11,346",79.4%,,,,,,,
"            Arts, design, entertainment, sports, and media occupations","21,396","11,110",51.9%,"10,286",48.1%,"18,820","8,670",46.1%,"10,150",53.9%,"15,033","7,777",51.7%,"7,256",48.3%,"16,523","9,630",58.3%,"6,893",41.7%,"25,097","12,542",50.0%,"12,555",50.0%,"18,199","8,195",45.0%,"10,004",55.0%,"5,083","2,227",43.8%,"2,856",56.2%,,,,,,,
        Healthcare practitioners and technical occupations:,"44,140","12,249",27.8%,"31,891",72.2%,"32,604","10,542",32.3%,"22,062",67.7%,"33,674","7,814",23.2%,"25,860",76.8%,"25,272","6,709",26.5%,"18,563",73.5%,"60,730","16,521",27.2%,"44,209",72.8%,"26,946","7,397",27.5%,"19,549",72.5%,"7,866","2,067",26.3%,"5,799",73.7%,,,,,,,
            Health diagnosing and treating practitioners and other technical occupations,"33,094","8,600",26.0%,"24,494",74.0%,"24,721","8,113",32.8%,"16,608",67.2%,"24,508","6,033",24.6%,"18,475",75.4%,"19,161","4,910",25.6%,"14,251",74.4%,"40,825","11,582",28.4%,"29,243",71.6%,"20,424","5,558",27.2%,"14,866",72.8%,"5,881","1,553",26.4%,"4,328",73.6%,,,,,,,
            Health technologists and technicians,"11,046","3,649",33.0%,"7,397",67.0%,"7,883","2,429",30.8%,"5,454",69.2%,"9,166","1,781",19.4%,"7,385",80.6%,"6,111","1,799",29.4%,"4,312",70.6%,"19,905","4,939",24.8%,"14,966",75.2%,"6,522","1,839",28.2%,"4,683",71.8%,"1,985",514,25.9%,"1,471",74.1%,,,,,,,
    Service occupations:,"143,895","64,231",44.6%,"79,664",55.4%,"82,859","33,238",40.1%,"49,621",59.9%,"73,620","33,020",44.9%,"40,600",55.1%,"59,561","26,589",44.6%,"32,972",55.4%,"218,849","93,995",42.9%,"124,854",57.1%,"88,671","38,100",43.0%,"50,571",57.0%,"28,217","12,470",44.2%,"15,747",55.8%,,,,,,,
