label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate_margin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandestimate_margin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate_margin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate_margin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasestimate_margin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate_margin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate_margin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
    Wood,1887,625,0.003,0.1,412,245,0.001,0.1,1091,573,0.003,0.2,674,377,0.003,0.2,417,365,0.0,0.1,613,290,0.002,0.1,1070,510,0.01,0.5
    Solar energy,850,370,0.001,0.1,0,289,0.0,0.1,0,289,0.0,0.1,61,100,0.0,0.1,44,72,0.0,0.1,0,287,0.0,0.1,61,102,0.001,0.1
    Other fuel,1238,577,0.002,0.1,427,289,0.001,0.1,132,156,0.0,0.1,223,161,0.001,0.1,258,194,0.0,0.1,514,289,0.001,0.1,223,211,0.002,0.2
    No fuel used,5792,1262,0.01,0.2,479,298,0.001,0.1,499,269,0.001,0.1,561,273,0.002,0.1,1406,470,0.002,0.1,746,380,0.002,0.1,226,208,0.002,0.2
SELECTED CHARACTERISTICS,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Occupied housing units,599235,3770,5992.35,N/A,359476,2836,3594.76,N/A,338054,3843,3380.54,N/A,249899,3777,2498.99,N/A,843416,4626,8434.16,N/A,389415,3502,3894.15,N/A,102979,2217,1029.79,N/A
    Lacking complete plumbing facilities,3645,1269,0.006,0.2,1527,830,0.004,0.2,776,487,0.002,0.1,189,184,0.001,0.1,4247,1158,0.005,0.1,1590,938,0.004,0.2,548,447,0.005,0.4
    Lacking complete kitchen facilities,6765,1368,0.011000000000000001,0.2,2955,898,0.008,0.2,1703,591,0.005,0.2,1028,405,0.004,0.2,7170,1299,0.009000000000000001,0.2,2292,1027,0.006,0.3,757,477,0.006999999999999999,0.5
    No telephone service available,10027,1634,0.017,0.3,5286,1022,0.015,0.3,6511,1280,0.019,0.4,4920,1010,0.02,0.4,17779,2310,0.021,0.3,4533,1139,0.012,0.3,894,496,0.009000000000000001,0.5
OCCUPANTS PER ROOM,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Occupied housing units,599235,3770,5992.35,N/A,359476,2836,3594.76,N/A,338054,3843,3380.54,N/A,249899,3777,2498.99,N/A,843416,4626,8434.16,N/A,389415,3502,3894.15,N/A,102979,2217,1029.79,N/A
    1.00 or less,551916,4276,0.9209999999999999,0.5,350327,3061,0.975,0.5,330284,4125,0.977,0.5,243125,3977,0.973,0.5,783874,5418,0.929,0.5,377798,3709,0.97,0.4,101545,2359,0.986,0.7
    1.01 to 1.50,32292,3177,0.054000000000000006,0.5,6763,1435,0.019,0.4,6206,1382,0.018000000000000002,0.4,4225,1156,0.017,0.5,42260,3777,0.05,0.4,8054,1607,0.021,0.4,1265,631,0.012,0.6
    1.51 or more,15027,2309,0.025,0.4,2386,803,0.006999999999999999,0.2,1564,784,0.005,0.2,2549,693,0.01,0.3,17282,2272,0.02,0.3,3563,1167,0.009000000000000001,0.3,169,197,0.002,0.2
VALUE,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Owner-occupied units,342955,4963,3429.55,N/A,238022,4307,2380.22,N/A,224624,3870,2246.24,N/A,135598,3957,1355.98,N/A,448918,6552,4489.18,N/A,272224,4427,2722.24,N/A,80627,2460,806.27,N/A
    Less than $50000,7522,1182,0.022000000000000002,0.3,1800,548,0.008,0.2,6275,1561,0.027999999999999997,0.7,3506,828,0.026000000000000002,0.6,30301,2659,0.067,0.6,2668,841,0.01,0.3,1071,568,0.013000000000000001,0.7
    $50000 to $99999,9155,1427,0.027000000000000003,0.4,2240,730,0.009000000000000001,0.3,8192,1270,0.036000000000000004,0.6,13382,1769,0.099,1.2,113327,5053,0.252,1.0,3103,896,0.011000000000000001,0.3,906,544,0.011000000000000001,0.7
    $100000 to $149999,4362,878,0.013000000000000001,0.3,4056,869,0.017,0.4,33656,2891,0.15,1.2,35378,2534,0.261,1.7,119343,5533,0.266,1.1,6579,1311,0.024,0.5,2096,623,0.026000000000000002,0.7
    $150000 to $199999,5612,1190,0.016,0.3,9939,1612,0.042,0.7,41619,3057,0.185,1.4,31388,2244,0.231,1.5,63981,4044,0.14300000000000002,0.9,8558,1339,0.031,0.5,2166,722,0.027000000000000003,0.9
    $200000 to $299999,16502,2029,0.048,0.6,33032,2835,0.139,1.1,61025,3553,0.272,1.5,24836,2007,0.183,1.4,57315,3352,0.128,0.8,35628,2958,0.131,1.0,10526,1535,0.131,1.9
    $300000 to $499999,70855,4015,0.207,1.1,88356,3790,0.371,1.4,53938,2949,0.24,1.3,18281,1474,0.135,1.1,37670,2201,0.084,0.5,97281,4396,0.35700000000000004,1.5,30871,2354,0.38299999999999995,2.6
    $500000 to $999999,161903,4450,0.47200000000000003,1.2,79150,3088,0.33299999999999996,1.3,17272,2006,0.077,0.9,5935,760,0.044000000000000004,0.6,19241,1920,0.043,0.4,103781,3276,0.381,1.2,30258,2051,0.375,2.5
    $1000000 or more,67044,3106,0.195,0.9,19449,1511,0.08199999999999999,0.6,2647,749,0.012,0.3,2892,692,0.021,0.5,7740,984,0.017,0.2,14626,1641,0.054000000000000006,0.6,2733,885,0.034,1.1
    Median (dollars),639400,8631,0.1215,N/A,447200,7017,0.12300000000000001,N/A,232800,4066,0.1455,N/A,172500,3433,0.133,N/A,129300,2620,0.1335,N/A,462000,6395,0.1255,N/A,447100,12816,0.122,N/A
MORTGAGE STATUS,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Owner-occupied units,342955,4963,3429.55,N/A,238022,4307,2380.22,N/A,224624,3870,2246.24,N/A,135598,3957,1355.98,N/A,448918,6552,4489.18,N/A,272224,4427,2722.24,N/A,80627,2460,806.27,N/A
    Housing units with a mortgage,256276,5674,0.747,1.0,188428,4264,0.792,0.9,184459,4000,0.821,1.1,99978,4078,0.737,1.9,311935,6743,0.695,0.9,225962,5228,0.83,1.0,72843,2442,0.903,1.3
    Housing units without a mortgage,86679,3495,0.253,1.0,49594,2234,0.20800000000000002,0.9,40165,2588,0.179,1.1,35620,2709,0.263,1.9,136983,4287,0.305,0.9,46262,2670,0.17,1.0,7784,1104,0.09699999999999999,1.3
SELECTED MONTHLY OWNER COSTS (SMOC),N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Housing units with a mortgage,256276,5674,2562.76,N/A,188428,4264,1884.28,N/A,184459,4000,1844.59,N/A,99978,4078,999.78,N/A,311935,6743,3119.35,N/A,225962,5228,2259.62,N/A,72843,2442,728.43,N/A
    Less than $300,441,292,0.002,0.1,0,289,0.0,0.1,216,272,0.001,0.1,0,287,0.0,0.2,55,92,0.0,0.1,128,157,0.001,0.1,0,287,0.0,0.3
    $300 to $499,1586,584,0.006,0.2,104,128,0.001,0.1,1536,689,0.008,0.4,1794,674,0.018000000000000002,0.7,3103,922,0.01,0.3,326,253,0.001,0.1,408,416,0.006,0.6
    $500 to $699,2152,704,0.008,0.3,1271,486,0.006999999999999999,0.3,4407,930,0.024,0.5,3738,888,0.037000000000000005,0.9,10300,1301,0.033,0.4,1370,450,0.006,0.2,239,169,0.003,0.2
    $700 to $999,4788,1034,0.019,0.4,5128,1215,0.027000000000000003,0.6,18284,1796,0.099,0.9,18114,1945,0.18100000000000002,1.8,39066,2786,0.125,0.8,6174,1116,0.027000000000000003,0.5,1606,687,0.022000000000000002,0.9
    $1000 to $1499,16484,1998,0.064,0.8,20393,2338,0.10800000000000001,1.2,62193,3758,0.337,1.9,37051,2834,0.371,2.2,115767,5695,0.371,1.5,26465,2246,0.11699999999999999,1.0,4702,990,0.065,1.4
    $1500 to $1999,28710,2920,0.11199999999999999,1.1,31984,2346,0.17,1.2,45699,3045,0.248,1.6,21427,2309,0.214,2.1,69691,3598,0.223,1.2,37296,3152,0.165,1.3,7782,1346,0.107,1.8
    $2000 or more,202115,4991,0.789,1.2,129548,3785,0.688,1.5,52124,2872,0.28300000000000003,1.4,17854,1854,0.179,1.9,73953,3738,0.237,1.1,154203,5627,0.682,1.7,58106,2789,0.7979999999999999,2.5
    Median (dollars),2994,43,0.1215,N/A,2498,43,0.12300000000000001,N/A,1552,30,0.1455,N/A,1366,26,0.133,N/A,1443,20,0.1335,N/A,2468,40,0.1255,N/A,2766,64,0.122,N/A
    Housing units without a mortgage,86679,3495,866.79,N/A,49594,2234,495.94,N/A,40165,2588,401.65,N/A,35620,2709,356.2,N/A,136983,4287,1369.83,N/A,46262,2670,462.62,N/A,7784,1104,77.84,N/A
    Less than $100,1051,498,0.012,0.6,440,264,0.009000000000000001,0.5,50,82,0.001,0.2,141,135,0.004,0.4,1006,431,0.006999999999999999,0.3,615,323,0.013000000000000001,0.7,61,103,0.008,1.3
    $100 to $199,3040,718,0.035,0.8,123,143,0.002,0.3,1432,854,0.036000000000000004,2.1,1377,567,0.039,1.6,3805,830,0.027999999999999997,0.6,680,361,0.015,0.8,95,134,0.012,1.7
    $200 to $299,8855,1367,0.102,1.5,879,392,0.018000000000000002,0.8,4619,968,0.115,2.4,5310,964,0.149,2.5,15946,1891,0.11599999999999999,1.4,1608,522,0.035,1.1,357,288,0.046,3.6
    $300 to $399,14202,1385,0.16399999999999998,1.4,2309,697,0.047,1.4,7935,1281,0.198,2.9,7440,920,0.209,2.3,19493,1679,0.142,1.2,2867,807,0.062,1.7,331,229,0.043,3.0
    $400 or more,59531,3064,0.687,2.1,45843,2169,0.924,1.7,26129,2287,0.6509999999999999,3.8,21352,2144,0.599,3.4,96733,4435,0.706,1.9,40492,2547,0.875,2.0,6940,1037,0.892,5.0
    Median (dollars),539,17,0.1215,N/A,740,24,0.12300000000000001,N/A,477,19,0.1455,N/A,450,16,0.133,N/A,527,14,0.1335,N/A,698,20,0.1255,N/A,761,59,0.122,N/A
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),255336,5648,2553.36,N/A,188258,4267,1882.58,N/A,183731,4024,1837.31,N/A,99648,4066,996.48,N/A,310211,6815,3102.11,N/A,224894,5265,2248.94,N/A,72843,2442,728.43,N/A
    Less than 20.0 percent,61314,3545,0.24,1.4,64835,2885,0.344,1.5,74034,3735,0.40299999999999997,1.8,34055,2261,0.342,2.0,107386,4737,0.34600000000000003,1.4,90026,3817,0.4,1.6,21660,1531,0.297,2.2
    20.0 to 24.9 percent,37831,2986,0.14800000000000002,1.1,29894,2720,0.159,1.3,31134,2312,0.16899999999999998,1.2,16174,1637,0.162,1.6,50155,3409,0.162,1.0,35636,2903,0.158,1.2,13947,1840,0.191,2.4
    25.0 to 29.9 percent,31228,2586,0.122,0.9,23658,2145,0.126,1.1,24304,2196,0.132,1.2,12866,1690,0.129,1.6,36860,3423,0.11900000000000001,1.0,28240,2890,0.126,1.2,11662,1414,0.16,1.9
    30.0 to 34.9 percent,27748,2314,0.109,0.9,17168,2299,0.091,1.2,13720,1803,0.075,1.0,9562,1319,0.096,1.3,27941,3087,0.09,1.0,21979,2079,0.098,0.9,8127,1511,0.11199999999999999,2.0
    35.0 percent or more,97215,4198,0.381,1.4,52703,3326,0.28,1.6,40539,3137,0.221,1.6,26991,2624,0.271,2.3,87869,5035,0.28300000000000003,1.5,49013,3410,0.218,1.4,17447,1854,0.24,2.4
    Not computed,940,513,0.1215,N/A,170,160,0.12300000000000001,N/A,728,500,0.1455,N/A,330,227,0.133,N/A,1724,624,0.1335,N/A,1068,525,0.1255,N/A,0,287,0.122,N/A
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),85119,3504,851.19,N/A,49093,2338,490.93,N/A,39783,2594,397.83,N/A,35270,2723,352.7,N/A,135379,4341,1353.79,N/A,46100,2655,461.0,N/A,7734,1109,77.34,N/A
    Less than 10.0 percent,43387,2632,0.51,2.3,21364,1820,0.435,2.9,19599,1919,0.493,3.6,14035,1791,0.39799999999999996,3.9,45898,3166,0.33899999999999997,1.8,22766,2182,0.494,3.3,3922,896,0.507,8.5
    10.0 to 14.9 percent,14242,1551,0.16699999999999998,1.7,8649,1049,0.17600000000000002,2.1,7305,1203,0.184,2.9,6780,1050,0.192,2.9,30191,2340,0.223,1.6,8953,1165,0.19399999999999998,2.3,1636,557,0.212,7.0
    15.0 to 19.9 percent,8796,1283,0.10300000000000001,1.5,5044,1103,0.10300000000000001,2.1,3291,816,0.083,1.9,5284,1095,0.15,2.8,17372,1795,0.128,1.3,4911,1127,0.107,2.3,513,349,0.066,4.4
    20.0 to 24.9 percent,5781,1251,0.068,1.4,4211,903,0.086,1.8,2416,751,0.061,1.8,2666,930,0.076,2.6,11075,1439,0.08199999999999999,1.1,2498,733,0.054000000000000006,1.6,342,231,0.044000000000000004,2.8
    25.0 to 29.9 percent,2687,742,0.032,0.9,2390,747,0.049,1.5,1781,646,0.045,1.6,1781,591,0.05,1.6,8194,1217,0.061,0.9,2169,800,0.047,1.7,115,152,0.015,2.0
    30.0 to 34.9 percent,2337,726,0.027000000000000003,0.8,1381,480,0.027999999999999997,0.9,1633,683,0.040999999999999995,1.7,1211,514,0.034,1.4,5391,1013,0.04,0.8,978,391,0.021,0.8,111,133,0.013999999999999999,1.7
    35.0 percent or more,7889,1238,0.09300000000000001,1.4,6054,1027,0.12300000000000001,2.1,3758,955,0.094,2.3,3513,927,0.1,2.4,17258,1850,0.127,1.3,3825,902,0.083,1.9,1095,433,0.142,5.2
    Not computed,1560,724,0.1215,N/A,501,382,0.12300000000000001,N/A,382,259,0.1455,N/A,350,221,0.133,N/A,1604,608,0.1335,N/A,162,159,0.1255,N/A,50,84,0.122,N/A
GROSS RENT,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Occupied units paying rent,250980,5530,2509.8,N/A,117459,4096,1174.59,N/A,110703,3849,1107.03,N/A,110360,3857,1103.6,N/A,384011,7396,3840.11,N/A,114961,4243,1149.61,N/A,N/A,N/A,0.122,N/A
    Less than $200,1021,497,0.004,0.2,2039,655,0.017,0.6,1690,704,0.015,0.6,2863,782,0.026000000000000002,0.7,5256,1053,0.013999999999999999,0.3,2027,590,0.018000000000000002,0.5,N/A,N/A,0.122,N/A
    $200 to $299,5127,1227,0.02,0.5,1240,498,0.011000000000000001,0.4,2170,921,0.02,0.8,2366,748,0.021,0.7,4224,1086,0.011000000000000001,0.3,605,386,0.005,0.3,N/A,N/A,0.122,N/A
    $300 to $499,5300,1033,0.021,0.4,1572,640,0.013000000000000001,0.5,5175,1246,0.047,1.1,8749,1562,0.079,1.4,17951,2320,0.047,0.6,1707,883,0.015,0.8,N/A,N/A,0.122,N/A
    $500 to $749,13324,2024,0.053,0.8,3953,1242,0.034,1.0,24699,3293,0.223,2.6,36505,3108,0.331,2.5,119461,5034,0.311,1.2,3533,1003,0.031,0.8,N/A,N/A,0.122,N/A
    $750 to $999,26134,2942,0.10400000000000001,1.1,8622,1571,0.073,1.3,43244,3261,0.391,3.0,36308,2778,0.32899999999999996,2.4,113779,5482,0.29600000000000004,1.3,7203,1473,0.063,1.3,N/A,N/A,0.122,N/A
    $1000 to $1499,90157,5262,0.359,2.0,44756,2946,0.381,2.2,25547,2901,0.231,2.6,18407,2177,0.16699999999999998,1.8,93761,4212,0.244,1.0,42118,2633,0.366,2.3,N/A,N/A,0.122,N/A
    $1500 or more,109917,5126,0.43799999999999994,1.8,55277,3361,0.47100000000000003,2.4,8178,1306,0.07400000000000001,1.2,5162,1330,0.047,1.2,29579,2854,0.077,0.7,57768,3824,0.503,2.4,N/A,N/A,0.122,N/A
    Median (dollars),1418,21,0.1215,N/A,1466,26,0.12300000000000001,N/A,858,13,0.1455,N/A,776,15,0.133,N/A,836,9,0.1335,N/A,1504,34,0.1255,N/A,1574,100,0.122,N/A
    No rent paid,5300,1144,0.1215,N/A,3995,1044,0.12300000000000001,N/A,2727,796,0.1455,N/A,3941,933,0.133,N/A,10487,1556,0.1335,N/A,2230,754,0.1255,N/A,N/A,N/A,0.122,N/A
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Occupied units paying rent (excluding units where GRAPI cannot be computed),246834,5624,2468.34,N/A,115699,4037,1156.99,N/A,108871,3896,1088.71,N/A,108353,3811,1083.53,N/A,374383,7504,3743.83,N/A,113436,4301,1134.36,N/A,21113,1953,211.13,N/A
    Less than 15.0 percent,36283,3210,0.147,1.2,8821,1634,0.076,1.4,11627,1705,0.107,1.6,9995,1613,0.092,1.4,44054,3476,0.11800000000000001,0.9,15523,2274,0.13699999999999998,1.9,2531,1038,0.12,4.7
    15.0 to 19.9 percent,35384,3322,0.14300000000000002,1.3,14408,1844,0.125,1.6,17253,2243,0.158,1.9,13427,2183,0.124,2.0,47499,3862,0.127,1.0,15889,2301,0.14,2.0,2879,912,0.136,4.3
    20.0 to 24.9 percent,29917,2668,0.121,1.1,16713,2108,0.14400000000000002,1.6,15393,1863,0.141,1.7,13793,2225,0.127,2.0,52580,3231,0.14,0.9,17011,2399,0.15,2.0,3121,1085,0.14800000000000002,4.8
    25.0 to 29.9 percent,27507,3050,0.111,1.2,13017,1889,0.113,1.6,14664,1816,0.135,1.5,12307,1898,0.114,1.7,43569,3480,0.11599999999999999,0.9,14887,2366,0.131,2.1,3144,1011,0.149,4.5
    30.0 to 34.9 percent,23888,2770,0.09699999999999999,1.1,12304,1891,0.106,1.6,8336,1642,0.077,1.5,9961,1849,0.092,1.7,33645,3724,0.09,1.0,10229,2025,0.09,1.8,2406,850,0.114,3.9
    35.0 percent or more,93855,4180,0.38,1.4,50436,3388,0.436,2.5,41598,2964,0.382,2.3,48870,3425,0.451,2.6,153036,6559,0.409,1.5,39897,3560,0.35200000000000004,2.9,7032,1224,0.33299999999999996,5.1
    Not computed,9446,1489,0.1215,N/A,5755,1190,0.12300000000000001,N/A,4559,1239,0.1455,N/A,5948,1141,0.133,N/A,20115,2383,0.1335,N/A,3755,1237,0.1255,N/A,1239,645,0.122,N/A
