label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiamaleestimate,santa_clara_county_californiafemaleestimate,santa_clara_county_californiamedian_earnings_dollarsestimate,santa_clara_county_californiamedian_earnings_dollars_for_maleestimate,santa_clara_county_californiamedian_earnings_dollars_for_femaleestimate,montgomery_county_marylandtotalestimate,montgomery_county_marylandmaleestimate,montgomery_county_marylandfemaleestimate,montgomery_county_marylandmedian_earnings_dollarsestimate,montgomery_county_marylandmedian_earnings_dollars_for_maleestimate,montgomery_county_marylandmedian_earnings_dollars_for_femaleestimate,wake_county_north_carolinatotalestimate,wake_county_north_carolinamaleestimate,wake_county_north_carolinafemaleestimate,wake_county_north_carolinamedian_earnings_dollarsestimate,wake_county_north_carolinamedian_earnings_dollars_for_maleestimate,wake_county_north_carolinamedian_earnings_dollars_for_femaleestimate,davidson_county_tennesseetotalestimate,davidson_county_tennesseemaleestimate,davidson_county_tennesseefemaleestimate,davidson_county_tennesseemedian_earnings_dollarsestimate,davidson_county_tennesseemedian_earnings_dollars_for_maleestimate,davidson_county_tennesseemedian_earnings_dollars_for_femaleestimate,dallas_county_texastotalestimate,dallas_county_texasmaleestimate,dallas_county_texasfemaleestimate,dallas_county_texasmedian_earnings_dollarsestimate,dallas_county_texasmedian_earnings_dollars_for_maleestimate,dallas_county_texasmedian_earnings_dollars_for_femaleestimate,fairfax_county_virginiatotalestimate,fairfax_county_virginiamaleestimate,fairfax_county_virginiafemaleestimate,fairfax_county_virginiamedian_earnings_dollarsestimate,fairfax_county_virginiamedian_earnings_dollars_for_maleestimate,fairfax_county_virginiamedian_earnings_dollars_for_femaleestimate,loudoun_county_virginiatotalestimate,loudoun_county_virginiamaleestimate,loudoun_county_virginiafemaleestimate,loudoun_county_virginiamedian_earnings_dollarsestimate,loudoun_county_virginiamedian_earnings_dollars_for_maleestimate,loudoun_county_virginiamedian_earnings_dollars_for_femaleestimate
Civilian employed population 16 years and over,"834,009",55.30%,44.70%,"47,284","56,137","40,341","523,864",51.30%,48.70%,"48,289","56,201","40,849","448,710",52.90%,47.10%,"37,363","44,269","32,211","303,923",51.30%,48.70%,"30,333","31,828","27,291","1,107,409",54.70%,45.30%,"30,349","31,642","27,335","582,131",53.30%,46.70%,"52,626","65,024","45,389","169,495",53.60%,46.40%,"58,059","79,292","42,929"
"Management, business, science, and arts occupations:","420,630",56.70%,43.30%,"81,420","99,045","64,600","291,351",50.70%,49.30%,"75,777","91,444","62,085","220,354",50.40%,49.60%,"54,180","67,763","44,639","113,936",47.00%,53.00%,"46,176","52,657","41,712","360,413",47.30%,52.70%,"51,824","61,423","46,719","319,193",54.00%,46.00%,"82,816","100,890","68,152","95,320",54.50%,45.50%,"81,377","102,242","60,917"
"Management, business, and financial occupations:","162,960",55.00%,45.00%,"88,134","101,985","70,255","111,924",53.40%,46.60%,"81,776","98,769","69,663","86,935",55.30%,44.70%,"60,996","71,205","51,765","41,248",52.30%,47.70%,"53,036","60,998","46,911","156,591",50.30%,49.70%,"56,671","65,778","50,688","140,171",55.50%,44.50%,"91,143","107,126","76,047","44,427",58.60%,41.40%,"97,171","111,621","67,531"
Management occupations,"109,687",61.60%,38.40%,"100,427","111,920","78,924","72,606",57.40%,42.60%,"91,904","102,519","76,423","58,091",61.00%,39.00%,"69,117","79,571","59,159","26,506",57.00%,43.00%,"60,955","66,060","53,735","91,165",56.70%,43.30%,"61,434","68,298","54,180","89,303",59.80%,40.20%,"101,064","116,319","81,272","28,539",65.20%,34.80%,"101,966","115,078","72,342"
Business and financial operations occupations,"53,273",41.40%,58.60%,"68,967","88,185","60,581","39,318",46.10%,53.90%,"68,581","73,930","65,848","28,844",43.80%,56.20%,"50,924","55,980","45,676","14,742",43.90%,56.10%,"45,196","50,632","41,444","65,426",41.20%,58.80%,"52,073","61,686","47,130","50,868",48.00%,52.00%,"77,133","91,987","67,042","15,888",46.80%,53.20%,"78,162","105,475","61,629"
"Computer, engineering, and science occupations:","138,899",77.00%,23.00%,"96,717","101,041","80,272","63,595",67.70%,32.30%,"85,622","91,686","76,323","47,702",73.40%,26.60%,"72,762","76,987","58,140","14,540",70.70%,29.30%,"53,744","57,266","50,842","52,779",72.50%,27.50%,"63,706","70,003","55,250","80,328",74.00%,26.00%,"96,789","100,533","91,078","25,798",74.40%,25.60%,"100,636","101,884","91,816"
Computer and mathematical occupations,"75,272",76.50%,23.50%,"100,434","101,876","85,427","30,770",70.30%,29.70%,"87,220","89,038","83,821","27,180",75.50%,24.50%,"77,063","81,290","69,153","8,323",72.90%,27.10%,"59,534","63,384","55,948","30,952",72.50%,27.50%,"68,901","72,847","56,277","56,250",71.70%,28.30%,"94,143","96,355","91,763","18,459",73.70%,26.30%,"102,026","104,123","99,383"
Architecture and engineering occupations,"51,228",83.00%,17.00%,"97,956","100,858","75,951","12,897",80.40%,19.60%,"88,049","94,108","68,271","11,469",84.10%,15.90%,"70,621","78,469","54,730","3,408",91.00%,9.00%,"54,861","60,059","41,120","17,071",79.50%,20.50%,"59,595","63,966","49,606","15,051",81.50%,18.50%,"100,620","106,034","81,175","5,733",85.20%,14.80%,"94,036","99,261","66,952"
"Life, physical, and social science occupations","12,399",55.10%,44.90%,"64,275","72,042","58,955","19,928",55.40%,44.60%,"82,163","95,883","65,663","9,053",53.60%,46.40%,"54,078","58,612","52,611","2,809",39.80%,60.20%,"45,594","46,748","42,301","4,756",47.80%,52.20%,"52,309","55,727","51,202","9,027",75.10%,24.90%,"102,136","110,236","97,021","1,606",44.00%,56.00%,"80,112","100,935","60,882"
"Education, legal, community service, arts, and media occupations:","82,427",37.60%,62.40%,"45,967","55,347","41,656","82,828",41.40%,58.60%,"57,744","76,894","50,241","58,287",36.00%,64.00%,"37,303","46,818","32,539","37,720",45.10%,54.90%,"32,823","37,952","29,434","107,475",37.80%,62.20%,"44,415","50,033","41,333","75,650",37.90%,62.10%,"58,438","72,402","51,284","18,470",31.70%,68.30%,"50,840","71,132","40,984"
Community and social services occupations,"10,262",28.10%,71.90%,"47,639","53,884","44,002","8,989",36.00%,64.00%,"50,379","50,371","50,385","9,052",39.20%,60.80%,"36,829","35,232","38,486","5,160",42.40%,57.60%,"32,754","36,062","27,579","12,729",44.70%,55.30%,"40,287","40,557","37,489","8,046",32.20%,67.80%,"44,456","50,223","42,164","2,176",22.90%,77.10%,"59,593","85,719","51,929"
Legal occupations,"10,473",52.10%,47.90%,"93,836","141,075","72,384","17,880",59.80%,40.20%,"128,188","146,929","105,191","7,039",40.20%,59.80%,"61,016","105,163","44,602","3,691",56.00%,44.00%,"49,876","122,101","41,398","17,579",46.60%,53.40%,"72,424","120,757","52,799","20,167",57.00%,43.00%,"111,504","122,157","101,117","1,698",50.90%,49.10%,"94,458","128,877","44,595"
"Education, training, and library occupations","44,847",32.10%,67.90%,"40,509","45,512","36,639","37,411",30.50%,69.50%,"47,193","56,900","40,902","31,055",26.90%,73.10%,"33,297","42,323","29,337","18,774",30.90%,69.10%,"31,244","37,406","30,297","55,265",25.80%,74.20%,"42,441","48,399","40,931","33,158",23.70%,76.30%,"47,395","55,562","40,535","9,810",20.30%,79.70%,"40,663","55,150","34,583"
"Arts, design, entertainment, sports, and media occupations","16,845",49.30%,50.70%,"46,653","53,075","38,980","18,548",48.10%,51.90%,"51,578","60,603","47,367","11,141",56.00%,44.00%,"39,901","48,079","12,441","10,095",68.90%,31.10%,"28,528","31,680","26,033","21,902",57.00%,43.00%,"40,222","42,000","36,315","14,279",47.00%,53.00%,"56,328","56,009","56,596","4,786",52.10%,47.90%,"61,063","70,268","51,138"
Healthcare practitioner and technical occupations:,"36,344",29.60%,70.40%,"80,630","89,660","77,367","33,004",31.80%,68.20%,"68,512","91,796","60,682","27,430",25.60%,74.40%,"51,832","69,049","47,824","20,428",23.10%,76.90%,"50,905","82,426","47,637","43,568",29.40%,70.60%,"51,904","61,460","47,801","23,044",28.50%,71.50%,"70,736","121,867","61,830","6,625",12.70%,87.30%,"58,104","62,011","57,841"
Health diagnosing and treating practitioners and other technical occupations,"28,191",29.90%,70.10%,"91,512","102,074","90,315","26,199",30.90%,69.10%,"77,213","118,187","66,330","19,183",26.70%,73.30%,"60,423","93,775","55,828","14,434",25.10%,74.90%,"60,354","131,454","52,982","29,217",31.20%,68.80%,"61,860","90,185","59,147","18,852",31.10%,68.90%,"81,371","145,696","70,200","4,153",11.80%,88.20%,"65,354","125,161","62,853"
Health technologists and technicians,"8,153",28.50%,71.50%,"51,137","49,304","51,439","6,805",35.20%,64.80%,"43,691","45,786","40,390","8,247",23.10%,76.90%,"37,141","45,735","36,469","5,994",18.50%,81.50%,"30,812","37,617","30,053","14,351",25.60%,74.40%,"31,775","41,026","30,655","4,192",16.60%,83.40%,"36,052","26,856","36,510","2,472",14.20%,85.80%,"42,156","31,305","48,211"
Service occupations:,"118,361",45.50%,54.50%,"19,094","21,586","16,382","78,315",42.70%,57.30%,"19,543","22,575","16,312","62,559",46.10%,53.90%,"16,429","21,207","13,926","56,016",43.70%,56.30%,"17,170","20,358","15,641","191,738",46.80%,53.20%,"16,489","20,342","13,651","91,713",45.60%,54.40%,"21,884","26,280","20,149","19,860",49.40%,50.60%,"23,825","28,810","19,104"
Healthcare support occupations,"12,390",16.50%,83.50%,"27,396","25,785","30,182","7,193",21.30%,78.70%,"25,068","37,352","23,004","6,139",10.00%,90.00%,"20,505","27,464","20,018","5,526",7.90%,92.10%,"25,678","23,585","25,857","20,631",14.60%,85.40%,"22,176","30,579","21,507","6,501",18.40%,81.60%,"28,402","33,902","27,816","1,077",10.90%,89.10%,"21,239",-,"21,857"
Protective service occupations:,"8,962",75.30%,24.70%,"35,651","34,611","37,682","8,085",74.40%,25.60%,"30,569","30,756","30,040","7,593",68.60%,31.40%,"41,384","43,873","33,718","5,832",67.20%,32.80%,"27,824","30,231","21,178","16,867",71.70%,28.30%,"32,396","33,115","31,348","11,419",75.10%,24.90%,"75,364","77,770","68,768","3,405",81.10%,18.90%,"80,875","85,404","73,949"
"Fire fighting and prevention, and other protective service workers including supervisors","6,879",77.50%,22.50%,"26,320","27,832","20,640","6,058",73.40%,26.60%,"25,339","25,962","11,966","4,047",66.30%,33.70%,"36,485","41,950","33,268","3,481",68.10%,31.90%,"13,299","14,260","7,115","9,849",73.40%,26.60%,"26,142","26,487","25,141","6,811",76.40%,23.60%,"62,364","61,239","68,891","1,965",79.90%,20.10%,"64,240","63,376","80,230"
Law enforcement workers including supervisors,"2,083",68.20%,31.80%,"81,303","86,729","76,514","2,027",77.70%,22.30%,"85,689","81,707","86,520","3,546",71.20%,28.80%,"44,313","44,759","34,803","2,351",66.00%,34.00%,"34,863","40,094","33,630","7,018",69.20%,30.80%,"41,603","46,711","38,324","4,608",73.10%,26.90%,"86,826","91,042","68,732","1,440",82.60%,17.40%,"86,309","86,632","73,225"
Food preparation and serving related occupations,"36,678",51.70%,48.30%,"15,834","19,512","12,300","23,174",53.50%,46.50%,"17,763","19,370","15,872","22,073",50.50%,49.50%,"11,963","14,165","10,814","20,919",47.00%,53.00%,"15,911","18,476","13,275","64,498",52.10%,47.90%,"14,676","17,432","12,018","32,089",54.70%,45.30%,"17,248","21,073","15,369","6,618",41.80%,58.20%,"18,055","21,102","15,617"
Building and grounds cleaning and maintenance occupations,"27,886",64.90%,35.10%,"20,583","24,392","16,008","18,791",44.40%,55.60%,"17,263","21,031","15,530","13,501",62.10%,37.90%,"17,081","21,546","12,640","12,280",58.10%,41.90%,"15,914","20,139","13,604","58,409",56.90%,43.10%,"16,058","18,686","12,258","21,944",51.20%,48.80%,"25,144","26,033","21,499","3,994",63.00%,37.00%,"28,623","29,139","21,882"
Personal care and service occupations,"32,445",24.50%,75.50%,"15,976","19,442","14,956","21,072",24.60%,75.40%,"18,800","31,439","16,335","13,253",26.20%,73.80%,"11,995","11,485","12,229","11,459",27.40%,72.60%,"15,375","21,971","11,856","31,333",24.70%,75.30%,"13,576","20,153","12,533","19,760",16.80%,83.20%,"19,582","19,308","19,647","4,766",34.50%,65.50%,"12,196","21,188","11,010"
Sales and office occupations:,"175,131",39.20%,60.80%,"31,999","37,016","29,743","100,347",39.50%,60.50%,"32,799","40,776","30,654","109,051",44.30%,55.70%,"30,877","36,656","27,481","81,490",40.90%,59.10%,"27,170","30,852","25,919","280,276",39.30%,60.70%,"27,819","32,043","25,578","111,965",38.90%,61.10%,"36,732","43,651","32,393","37,778",41.20%,58.80%,"37,158","50,515","31,736"
Sales and related occupations,"82,848",49.90%,50.10%,"26,978","40,823","19,585","42,679",52.10%,47.90%,"30,693","45,713","17,381","58,293",55.90%,44.10%,"30,687","40,348","20,852","34,087",54.10%,45.90%,"30,609","35,561","22,248","118,316",51.30%,48.70%,"25,806","36,424","18,241","49,077",50.80%,49.20%,"30,405","45,517","16,509","17,342",49.70%,50.30%,"31,324","60,674","19,598"
Office and administrative support occupations,"92,283",29.50%,70.50%,"35,633","31,575","36,379","57,668",30.20%,69.80%,"34,525","36,605","34,050","50,758",30.80%,69.20%,"31,026","31,558","30,768","47,403",31.40%,68.60%,"26,485","26,222","26,602","161,960",30.40%,69.60%,"28,901","30,266","28,371","62,888",29.60%,70.40%,"40,650","42,162","40,034","20,436",34.00%,66.00%,"38,468","42,981","37,416"
"Natural resources, construction, and maintenance occupations:","55,685",94.90%,5.10%,"32,179","34,214","16,044","29,453",97.40%,2.60%,"33,674","33,835","15,759","26,400",94.30%,5.70%,"26,497","26,707","26,067","23,936",94.60%,5.40%,"22,908","23,743","11,920","130,357",97.90%,2.10%,"23,527","23,560","21,374","31,625",97.40%,2.60%,"32,248","32,226","40,779","7,907",98.00%,2.00%,"42,464","42,464","42,463"
"Farming, fishing, and forestry occupations","2,832",73.80%,26.20%,"16,520","16,071","16,812",193,100.00%,0.00%,"29,150","29,150",-,612,73.20%,26.80%,"6,982","6,451","16,990",540,37.80%,62.20%,"11,321","15,943","4,643","1,611",97.00%,3.00%,"17,134","16,895",-,451,71.40%,28.60%,"23,842","21,204","24,871",463,96.80%,3.20%,"31,079","31,155",-
Construction and extraction occupations,"34,828",98.10%,1.90%,"31,298","31,570","13,717","21,256",97.70%,2.30%,"30,432","30,935","13,212","17,360",95.40%,4.60%,"20,867","20,757","27,623","16,963",96.20%,3.80%,"20,982","21,021","14,464","88,883",98.40%,1.60%,"21,563","21,612","14,923","21,440",97.60%,2.40%,"31,176","31,156","32,057","4,891",98.40%,1.60%,"40,548","40,138",-
"Installation, maintenance, and repair occupations","18,025",92.10%,7.90%,"41,444","42,626","19,442","8,004",96.40%,3.60%,"39,818","39,065","63,945","8,428",93.50%,6.50%,"38,493","39,659","26,077","6,433",95.40%,4.60%,"36,026","36,903","18,273","39,863",97.00%,3.00%,"33,633","33,783","29,619","9,734",98.20%,1.80%,"40,836","40,625","63,674","2,553",97.40%,2.60%,"51,921","52,231",-
"Production, transportation, and material moving occupations:","64,202",74.00%,26.00%,"30,227","30,861","27,269","24,398",79.90%,20.10%,"26,674","29,748","16,382","30,346",80.10%,19.90%,"27,413","29,294","23,097","28,545",76.50%,23.50%,"26,173","27,737","20,665","144,625",74.40%,25.60%,"24,963","27,671","19,192","27,635",77.50%,22.50%,"28,686","30,798","23,131","8,630",68.00%,32.00%,"31,782","40,126","20,573"
Production occupations,"37,986",66.70%,33.30%,"32,908","35,307","30,082","8,771",71.20%,28.80%,"31,486","34,483","21,954","12,383",75.90%,24.10%,"33,808","40,753","24,475","12,549",62.20%,37.80%,"25,226","30,339","20,217","68,759",64.20%,35.80%,"23,693","26,554","19,769","9,646",73.20%,26.80%,"35,292","40,813","16,981","2,150",64.00%,36.00%,"42,194","50,446","33,526"
Transportation occupations,"16,395",85.70%,14.30%,"30,857","30,822","31,070","11,182",90.50%,9.50%,"27,391","29,438","12,799","11,989",80.10%,19.90%,"25,886","26,234","25,496","8,132",89.70%,10.30%,"30,401","30,781","28,494","41,603",87.10%,12.90%,"32,484","35,327","21,116","13,946",78.60%,21.40%,"28,709","29,511","26,415","4,774",68.40%,31.60%,"33,200","40,800","20,705"
Material moving occupations,"9,821",82.90%,17.10%,"22,158","23,542","16,047","4,445",70.60%,29.40%,"15,802","19,764","8,832","5,974",88.90%,11.10%,"17,526","20,516","14,331","7,864",85.70%,14.30%,"22,071","25,146","18,731","34,263",79.70%,20.30%,"20,452","21,382","16,079","4,043",84.10%,15.90%,"12,267","11,574","18,485","1,706",72.00%,28.00%,"16,879","20,046","16,457"
PERCENT IMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civilian employed population 16 years and over,"967,374","538,173",55.60%,"429,201",44.40%,"555,886","286,622",51.60%,"269,264",48.40%,"528,812","280,575",53.10%,"248,237",46.90%,"363,716","187,534",51.60%,"176,182",48.40%,"1,254,419","684,743",54.60%,"569,676",45.40%,"613,246","326,241",53.20%,"287,005",46.80%,"203,967","109,953",53.90%,"94,014",46.10%,,,,,,,
