label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiamaleestimate,santa_clara_county_californiafemaleestimate,santa_clara_county_californiamedian_earnings_dollarsestimate,santa_clara_county_californiamedian_earnings_dollars_for_maleestimate,santa_clara_county_californiamedian_earnings_dollars_for_femaleestimate,montgomery_county_marylandtotalestimate,montgomery_county_marylandmaleestimate,montgomery_county_marylandfemaleestimate,montgomery_county_marylandmedian_earnings_dollarsestimate,montgomery_county_marylandmedian_earnings_dollars_for_maleestimate,montgomery_county_marylandmedian_earnings_dollars_for_femaleestimate,wake_county_north_carolinatotalestimate,wake_county_north_carolinamaleestimate,wake_county_north_carolinafemaleestimate,wake_county_north_carolinamedian_earnings_dollarsestimate,wake_county_north_carolinamedian_earnings_dollars_for_maleestimate,wake_county_north_carolinamedian_earnings_dollars_for_femaleestimate,davidson_county_tennesseetotalestimate,davidson_county_tennesseemaleestimate,davidson_county_tennesseefemaleestimate,davidson_county_tennesseemedian_earnings_dollarsestimate,davidson_county_tennesseemedian_earnings_dollars_for_maleestimate,davidson_county_tennesseemedian_earnings_dollars_for_femaleestimate,dallas_county_texastotalestimate,dallas_county_texasmaleestimate,dallas_county_texasfemaleestimate,dallas_county_texasmedian_earnings_dollarsestimate,dallas_county_texasmedian_earnings_dollars_for_maleestimate,dallas_county_texasmedian_earnings_dollars_for_femaleestimate,fairfax_county_virginiatotalestimate,fairfax_county_virginiamaleestimate,fairfax_county_virginiafemaleestimate,fairfax_county_virginiamedian_earnings_dollarsestimate,fairfax_county_virginiamedian_earnings_dollars_for_maleestimate,fairfax_county_virginiamedian_earnings_dollars_for_femaleestimate,loudoun_county_virginiatotalestimate,loudoun_county_virginiamaleestimate,loudoun_county_virginiafemaleestimate,loudoun_county_virginiamedian_earnings_dollarsestimate,loudoun_county_virginiamedian_earnings_dollars_for_maleestimate,loudoun_county_virginiamedian_earnings_dollars_for_femaleestimate
Healthcare support occupations,"30,682","6,929",22.60%,"23,753",77.40%,"13,577","2,186",16.10%,"11,391",83.90%,"11,465","1,868",16.30%,"9,597",83.70%,"7,657","1,634",21.30%,"6,023",78.70%,"36,015","5,403",15.00%,"30,612",85.00%,"10,128","2,123",21.00%,"8,005",79.00%,"2,837",528,18.60%,"2,309",81.40%,,,,,,,
Protective service occupations:,"13,125","10,435",79.50%,"2,690",20.50%,"7,879","6,393",81.10%,"1,486",18.90%,"7,619","5,452",71.60%,"2,167",28.40%,"5,342","3,676",68.80%,"1,666",31.20%,"20,640","14,838",71.90%,"5,802",28.10%,"12,223","9,198",75.30%,"3,025",24.70%,"4,833","3,944",81.60%,889,18.40%,,,,,,,
"Firefighting and prevention, and other protective service workers including supervisors","9,628","7,599",78.90%,"2,029",21.10%,"4,632","3,694",79.70%,938,20.30%,"4,350","3,063",70.40%,"1,287",29.60%,"3,779","2,502",66.20%,"1,277",33.80%,"14,673","10,489",71.50%,"4,184",28.50%,"7,254","5,307",73.20%,"1,947",26.80%,"2,538","1,885",74.30%,653,25.70%,,,,,,,
Law enforcement workers including supervisors,"3,497","2,836",81.10%,661,18.90%,"3,247","2,699",83.10%,548,16.90%,"3,269","2,389",73.10%,880,26.90%,"1,563","1,174",75.10%,389,24.90%,"5,967","4,349",72.90%,"1,618",27.10%,"4,969","3,891",78.30%,"1,078",21.70%,"2,295","2,059",89.70%,236,10.30%,,,,,,,
Food preparation and serving related occupations,"44,920","23,922",53.30%,"20,998",46.70%,"23,001","11,344",49.30%,"11,657",50.70%,"26,115","13,334",51.10%,"12,781",48.90%,"24,788","12,096",48.80%,"12,692",51.20%,"72,879","34,485",47.30%,"38,394",52.70%,"28,425","13,950",49.10%,"14,475",50.90%,"8,831","4,143",46.90%,"4,688",53.10%,,,,,,,
Building and grounds cleaning and maintenance occupations,"29,038","17,651",60.80%,"11,387",39.20%,"20,632","9,311",45.10%,"11,321",54.90%,"14,985","9,285",62.00%,"5,700",38.00%,"12,754","7,033",55.10%,"5,721",44.90%,"57,694","30,883",53.50%,"26,811",46.50%,"19,074","9,019",47.30%,"10,055",52.70%,"4,811","2,651",55.10%,"2,160",44.90%,,,,,,,
Personal care and service occupations,"26,130","5,294",20.30%,"20,836",79.70%,"17,770","4,004",22.50%,"13,766",77.50%,"13,436","3,081",22.90%,"10,355",77.10%,"9,020","2,150",23.80%,"6,870",76.20%,"31,621","8,386",26.50%,"23,235",73.50%,"18,821","3,810",20.20%,"15,011",79.80%,"6,905","1,204",17.40%,"5,701",82.60%,,,,,,,
Sales and office occupations:,"164,306","66,758",40.60%,"97,548",59.40%,"91,947","37,729",41.00%,"54,218",59.00%,"121,006","49,810",41.20%,"71,196",58.80%,"81,666","31,093",38.10%,"50,573",61.90%,"287,903","110,013",38.20%,"177,890",61.80%,"98,762","40,873",41.40%,"57,889",58.60%,"39,460","17,140",43.40%,"22,320",56.60%,,,,,,,
Sales and related occupations,"78,080","40,473",51.80%,"37,607",48.20%,"43,765","23,281",53.20%,"20,484",46.80%,"62,827","32,989",52.50%,"29,838",47.50%,"38,063","19,514",51.30%,"18,549",48.70%,"131,235","65,903",50.20%,"65,332",49.80%,"46,443","24,468",52.70%,"21,975",47.30%,"20,448","10,856",53.10%,"9,592",46.90%,,,,,,,
Office and administrative support occupations,"86,226","26,285",30.50%,"59,941",69.50%,"48,182","14,448",30.00%,"33,734",70.00%,"58,179","16,821",28.90%,"41,358",71.10%,"43,603","11,579",26.60%,"32,024",73.40%,"156,668","44,110",28.20%,"112,558",71.80%,"52,319","16,405",31.40%,"35,914",68.60%,"19,012","6,284",33.10%,"12,728",66.90%,,,,,,,
"Natural resources, construction, and maintenance occupations:","57,949","55,081",95.10%,"2,868",4.90%,"31,763","30,460",95.90%,"1,303",4.10%,"31,914","30,418",95.30%,"1,496",4.70%,"25,310","23,884",94.40%,"1,426",5.60%,"151,245","146,304",96.70%,"4,941",3.30%,"31,547","30,499",96.70%,"1,048",3.30%,"9,337","9,034",96.80%,303,3.20%,,,,,,,
"Farming, fishing, and forestry occupations","3,479","2,238",64.30%,"1,241",35.70%,492,232,47.20%,260,52.80%,732,509,69.50%,223,30.50%,454,306,67.40%,148,32.60%,"1,223",825,67.50%,398,32.50%,251,211,84.10%,40,15.90%,551,524,95.10%,27,4.90%,,,,,,,
Construction and extraction occupations,"36,553","35,739",97.80%,814,2.20%,"21,192","20,543",96.90%,649,3.10%,"20,091","19,332",96.20%,759,3.80%,"17,560","16,812",95.70%,748,4.30%,"110,347","107,795",97.70%,"2,552",2.30%,"22,147","21,361",96.50%,786,3.50%,"5,834","5,705",97.80%,129,2.20%,,,,,,,
"Installation, maintenance, and repair occupations","17,917","17,104",95.50%,813,4.50%,"10,079","9,685",96.10%,394,3.90%,"11,091","10,577",95.40%,514,4.60%,"7,296","6,766",92.70%,530,7.30%,"39,675","37,684",95.00%,"1,991",5.00%,"9,149","8,927",97.60%,222,2.40%,"2,952","2,805",95.00%,147,5.00%,,,,,,,
"Production, transportation, and material moving occupations:","79,963","57,155",71.50%,"22,808",28.50%,"32,280","25,524",79.10%,"6,756",20.90%,"43,326","32,872",75.90%,"10,454",24.10%,"45,967","33,306",72.50%,"12,661",27.50%,"177,197","128,475",72.50%,"48,722",27.50%,"32,736","25,690",78.50%,"7,046",21.50%,"11,218","8,619",76.80%,"2,599",23.20%,,,,,,,
Production occupations,"40,150","25,670",63.90%,"14,480",36.10%,"9,919","6,846",69.00%,"3,073",31.00%,"16,535","11,456",69.30%,"5,079",30.70%,"17,259","11,097",64.30%,"6,162",35.70%,"66,973","43,172",64.50%,"23,801",35.50%,"9,023","5,779",64.00%,"3,244",36.00%,"3,336","2,299",68.90%,"1,037",31.10%,,,,,,,
Transportation occupations,"20,789","17,780",85.50%,"3,009",14.50%,"14,073","12,486",88.70%,"1,587",11.30%,"15,260","12,463",81.70%,"2,797",18.30%,"14,045","11,596",82.60%,"2,449",17.40%,"51,643","44,232",85.60%,"7,411",14.40%,"15,083","13,344",88.50%,"1,739",11.50%,"5,274","4,392",83.30%,882,16.70%,,,,,,,
Civilian employed population 16 years and over,"1,011,709","558,143",55.20%,"453,566",44.80%,"567,498","287,248",50.60%,"280,250",49.40%,"646,091","337,351",52.20%,"308,740",47.80%,"409,433","209,153",51.10%,"200,280",48.90%,"1,348,084","725,866",53.80%,"622,218",46.20%,"614,947","325,968",53.00%,"288,979",47.00%,"236,508","129,252",54.70%,"107,256",45.30%,,,,,,,
"Management, business, science, and arts occupations:","597,771","337,063",56.40%,"260,708",43.60%,"341,339","167,242",49.00%,"174,097",51.00%,"382,817","198,278",51.80%,"184,539",48.20%,"214,372","99,912",46.60%,"114,460",53.40%,"545,454","266,443",48.80%,"279,011",51.20%,"386,226","201,781",52.20%,"184,445",47.80%,"153,579","85,270",55.50%,"68,309",44.50%,,,,,,,
"Management, business, and financial occupations:","206,613","111,655",54.00%,"94,958",46.00%,"132,768","66,251",49.90%,"66,517",50.10%,"163,480","87,161",53.30%,"76,319",46.70%,"94,500","47,051",49.80%,"47,449",50.20%,"245,578","127,510",51.90%,"118,068",48.10%,"164,849","84,001",51.00%,"80,848",49.00%,"69,603","39,466",56.70%,"30,137",43.30%,,,,,,,
Management occupations,"141,992","84,040",59.20%,"57,952",40.80%,"79,547","40,306",50.70%,"39,241",49.30%,"106,445","62,508",58.70%,"43,937",41.30%,"59,885","31,856",53.20%,"28,029",46.80%,"140,029","79,062",56.50%,"60,967",43.50%,"97,233","52,487",54.00%,"44,746",46.00%,"46,185","28,068",60.80%,"18,117",39.20%,,,,,,,
Business and financial operations occupations,"64,621","27,615",42.70%,"37,006",57.30%,"53,221","25,945",48.70%,"27,276",51.30%,"57,035","24,653",43.20%,"32,382",56.80%,"34,615","15,195",43.90%,"19,420",56.10%,"105,549","48,448",45.90%,"57,101",54.10%,"67,616","31,514",46.60%,"36,102",53.40%,"23,418","11,398",48.70%,"12,020",51.30%,,,,,,,
"Computer, engineering, and science occupations:","246,259","176,586",71.70%,"69,673",28.30%,"89,450","57,308",64.10%,"32,142",35.90%,"104,955","74,944",71.40%,"30,011",28.60%,"30,229","21,308",70.50%,"8,921",29.50%,"95,923","73,534",76.70%,"22,389",23.30%,"105,473","77,090",73.10%,"28,383",26.90%,"47,836","34,912",73.00%,"12,924",27.00%,,,,,,,
Computer and mathematical occupations,"144,198","102,663",71.20%,"41,535",28.80%,"45,981","31,434",68.40%,"14,547",31.60%,"57,141","42,707",74.70%,"14,434",25.30%,"18,804","13,578",72.20%,"5,226",27.80%,"61,944","48,659",78.60%,"13,285",21.40%,"73,478","54,960",74.80%,"18,518",25.20%,"38,056","27,659",72.70%,"10,397",27.30%,,,,,,,
Architecture and engineering occupations,"80,862","63,236",78.20%,"17,626",21.80%,"13,166","10,183",77.30%,"2,983",22.70%,"27,760","21,917",79.00%,"5,843",21.00%,"6,443","5,176",80.30%,"1,267",19.70%,"23,923","19,695",82.30%,"4,228",17.70%,"21,413","16,611",77.60%,"4,802",22.40%,"7,638","6,005",78.60%,"1,633",21.40%,,,,,,,
"Life, physical, and social science occupations","21,199","10,687",50.40%,"10,512",49.60%,"30,303","15,691",51.80%,"14,612",48.20%,"20,054","10,320",51.50%,"9,734",48.50%,"4,982","2,554",51.30%,"2,428",48.70%,"10,056","5,180",51.50%,"4,876",48.50%,"10,582","5,519",52.20%,"5,063",47.80%,"2,142","1,248",58.30%,894,41.70%,,,,,,,
"Education, legal, community service, arts, and media occupations:","97,203","33,617",34.60%,"63,586",65.40%,"88,547","35,958",40.60%,"52,589",59.40%,"73,147","25,576",35.00%,"47,571",65.00%,"59,148","24,159",40.80%,"34,989",59.20%,"137,547","48,831",35.50%,"88,716",64.50%,"85,288","32,527",38.10%,"52,761",61.90%,"27,363","8,583",31.40%,"18,780",68.60%,,,,,,,
Community and social service occupations,"11,669","3,931",33.70%,"7,738",66.30%,"10,112","3,187",31.50%,"6,925",68.50%,"9,881","3,712",37.60%,"6,169",62.40%,"5,464","1,858",34.00%,"3,606",66.00%,"16,444","4,951",30.10%,"11,493",69.90%,"6,554","2,229",34.00%,"4,325",66.00%,"3,008","1,057",35.10%,"1,951",64.90%,,,,,,,
Legal occupations,"8,996","3,813",42.40%,"5,183",57.60%,"19,276","11,134",57.80%,"8,142",42.20%,"9,009","3,510",39.00%,"5,499",61.00%,"8,230","3,916",47.60%,"4,314",52.40%,"21,807","11,049",50.70%,"10,758",49.30%,"20,606","12,232",59.40%,"8,374",40.60%,"1,728",958,55.40%,770,44.60%,,,,,,,
"Educational instruction, and library occupations","54,545","16,000",29.30%,"38,545",70.70%,"39,379","11,219",28.50%,"28,160",71.50%,"36,832","10,727",29.10%,"26,105",70.90%,"25,483","6,998",27.50%,"18,485",72.50%,"73,393","19,100",26.00%,"54,293",74.00%,"34,772","8,796",25.30%,"25,976",74.70%,"17,567","4,853",27.60%,"12,714",72.40%,,,,,,,
"Arts, design, entertainment, sports, and media occupations","21,993","9,873",44.90%,"12,120",55.10%,"19,780","10,418",52.70%,"9,362",47.30%,"17,425","7,627",43.80%,"9,798",56.20%,"19,971","11,387",57.00%,"8,584",43.00%,"25,903","13,731",53.00%,"12,172",47.00%,"23,356","9,270",39.70%,"14,086",60.30%,"5,060","1,715",33.90%,"3,345",66.10%,,,,,,,
Healthcare practitioners and technical occupations:,"47,696","15,205",31.90%,"32,491",68.10%,"30,574","7,725",25.30%,"22,849",74.70%,"41,235","10,597",25.70%,"30,638",74.30%,"30,495","7,394",24.20%,"23,101",75.80%,"66,406","16,568",24.90%,"49,838",75.10%,"30,616","8,163",26.70%,"22,453",73.30%,"8,777","2,309",26.30%,"6,468",73.70%,,,,,,,
Health diagnosing and treating practitioners and other technical occupations,"34,408","10,319",30.00%,"24,089",70.00%,"24,519","5,891",24.00%,"18,628",76.00%,"30,024","7,939",26.40%,"22,085",73.60%,"24,240","6,906",28.50%,"17,334",71.50%,"46,064","11,538",25.00%,"34,526",75.00%,"23,693","6,223",26.30%,"17,470",73.70%,"5,732","1,250",21.80%,"4,482",78.20%,,,,,,,
Health technologists and technicians,"13,288","4,886",36.80%,"8,402",63.20%,"6,055","1,834",30.30%,"4,221",69.70%,"11,211","2,658",23.70%,"8,553",76.30%,"6,255",488,7.80%,"5,767",92.20%,"20,342","5,030",24.70%,"15,312",75.30%,"6,923","1,940",28.00%,"4,983",72.00%,"3,045","1,059",34.80%,"1,986",65.20%,,,,,,,
Service occupations:,"137,955","57,722",41.80%,"80,233",58.20%,"80,400","28,895",35.90%,"51,505",64.10%,"73,915","31,792",43.00%,"42,123",57.00%,"56,465","22,722",40.20%,"33,743",59.80%,"197,941","81,932",41.40%,"116,009",58.60%,"77,647","34,076",43.90%,"43,571",56.10%,"25,099","9,738",38.80%,"15,361",61.20%,,,,,,,
Healthcare support occupations,"34,653","8,638",24.90%,"26,015",75.10%,"13,359","2,370",17.70%,"10,989",82.30%,"11,918",996,8.40%,"10,922",91.60%,"8,951","1,419",15.90%,"7,532",84.10%,"32,581","5,523",17.00%,"27,058",83.00%,"10,392","1,691",16.30%,"8,701",83.70%,"3,747",847,22.60%,"2,900",77.40%,,,,,,,
Protective service occupations:,"12,765","10,411",81.60%,"2,354",18.40%,"8,545","5,857",68.50%,"2,688",31.50%,"8,608","6,443",74.80%,"2,165",25.20%,"4,442","2,956",66.50%,"1,486",33.50%,"22,573","13,899",61.60%,"8,674",38.40%,"12,065","8,769",72.70%,"3,296",27.30%,"5,741","4,279",74.50%,"1,462",25.50%,,,,,,,
"Firefighting and prevention, and other protective service workers including supervisors","9,380","7,678",81.90%,"1,702",18.10%,"5,924","4,177",70.50%,"1,747",29.50%,"4,153","2,749",66.20%,"1,404",33.80%,"3,081","1,804",58.60%,"1,277",41.40%,"15,068","9,265",61.50%,"5,803",38.50%,"7,642","5,442",71.20%,"2,200",28.80%,"2,863","1,859",64.90%,"1,004",35.10%,,,,,,,
Law enforcement workers including supervisors,"3,385","2,733",80.70%,652,19.30%,"2,621","1,680",64.10%,941,35.90%,"4,455","3,694",82.90%,761,17.10%,"1,361","1,152",84.60%,209,15.40%,"7,505","4,634",61.70%,"2,871",38.30%,"4,423","3,327",75.20%,"1,096",24.80%,"2,878","2,420",84.10%,458,15.90%,,,,,,,
Food preparation and serving related occupations,"43,299","21,002",48.50%,"22,297",51.50%,"21,840","7,978",36.50%,"13,862",63.50%,"24,096","9,532",39.60%,"14,564",60.40%,"23,084","10,603",45.90%,"12,481",54.10%,"67,476","31,833",47.20%,"35,643",52.80%,"25,765","13,755",53.40%,"12,010",46.60%,"5,263","2,274",43.20%,"2,989",56.80%,,,,,,,
Building and grounds cleaning and maintenance occupations,"22,237","11,330",51.00%,"10,907",49.00%,"19,493","7,907",40.60%,"11,586",59.40%,"16,082","11,484",71.40%,"4,598",28.60%,"8,877","4,479",50.50%,"4,398",49.50%,"47,561","23,085",48.50%,"24,476",51.50%,"13,672","6,315",46.20%,"7,357",53.80%,"5,680","1,734",30.50%,"3,946",69.50%,,,,,,,
Personal care and service occupations,"25,001","6,341",25.40%,"18,660",74.60%,"17,163","4,783",27.90%,"12,380",72.10%,"13,211","3,337",25.30%,"9,874",74.70%,"11,111","3,265",29.40%,"7,846",70.60%,"27,750","7,592",27.40%,"20,158",72.60%,"15,753","3,546",22.50%,"12,207",77.50%,"4,668",604,12.90%,"4,064",87.10%,,,,,,,
Sales and office occupations:,"144,739","56,656",39.10%,"88,083",60.90%,"78,791","32,539",41.30%,"46,252",58.70%,"113,520","47,876",42.20%,"65,644",57.80%,"67,601","28,938",42.80%,"38,663",57.20%,"266,679","99,835",37.40%,"166,844",62.60%,"88,548","37,508",42.40%,"51,040",57.60%,"33,534","14,245",42.50%,"19,289",57.50%,,,,,,,
Sales and related occupations,"65,929","33,936",51.50%,"31,993",48.50%,"37,031","19,237",51.90%,"17,794",48.10%,"60,868","33,297",54.70%,"27,571",45.30%,"32,988","17,894",54.20%,"15,094",45.80%,"120,809","57,769",47.80%,"63,040",52.20%,"44,369","22,511",50.70%,"21,858",49.30%,"17,085","10,565",61.80%,"6,520",38.20%,,,,,,,
Office and administrative support occupations,"78,810","22,720",28.80%,"56,090",71.20%,"41,760","13,302",31.90%,"28,458",68.10%,"52,652","14,579",27.70%,"38,073",72.30%,"34,613","11,044",31.90%,"23,569",68.10%,"145,870","42,066",28.80%,"103,804",71.20%,"44,179","14,997",33.90%,"29,182",66.10%,"16,449","3,680",22.40%,"12,769",77.60%,,,,,,,
"Natural resources, construction, and maintenance occupations:","53,674","51,131",95.30%,"2,543",4.70%,"35,768","34,191",95.60%,"1,577",4.40%,"31,263","29,064",93.00%,"2,199",7.00%,"26,848","24,444",91.00%,"2,404",9.00%,"145,353","136,625",94.00%,"8,728",6.00%,"27,874","26,690",95.80%,"1,184",4.20%,"10,700","10,217",95.50%,483,4.50%,,,,,,,
"Farming, fishing, and forestry occupations","2,765","1,493",54.00%,"1,272",46.00%,429,274,63.90%,155,36.10%,876,508,58.00%,368,42.00%,46,0,0.00%,46,100.00%,"2,812","1,338",47.60%,"1,474",52.40%,445,395,88.80%,50,11.20%,445,386,86.70%,59,13.30%,,,,,,,
Construction and extraction occupations,"34,710","34,094",98.20%,616,1.80%,"22,718","22,020",96.90%,698,3.10%,"20,715","19,831",95.70%,884,4.30%,"18,864","17,267",91.50%,"1,597",8.50%,"105,623","100,848",95.50%,"4,775",4.50%,"19,343","18,564",96.00%,779,4.00%,"6,661","6,434",96.60%,227,3.40%,,,,,,,
"Installation, maintenance, and repair occupations","16,199","15,544",96.00%,655,4.00%,"12,621","11,897",94.30%,724,5.70%,"9,672","8,725",90.20%,947,9.80%,"7,938","7,177",90.40%,761,9.60%,"36,918","34,439",93.30%,"2,479",6.70%,"8,086","7,731",95.60%,355,4.40%,"3,594","3,397",94.50%,197,5.50%,,,,,,,
"Production, transportation, and material moving occupations:","77,570","55,571",71.60%,"21,999",28.40%,"31,200","24,381",78.10%,"6,819",21.90%,"44,576","30,341",68.10%,"14,235",31.90%,"44,147","33,137",75.10%,"11,010",24.90%,"192,657","141,031",73.20%,"51,626",26.80%,"34,652","25,913",74.80%,"8,739",25.20%,"13,596","9,782",71.90%,"3,814",28.10%,,,,,,,
Production occupations,"37,686","25,242",67.00%,"12,444",33.00%,"9,062","6,384",70.40%,"2,678",29.60%,"17,865","10,928",61.20%,"6,937",38.80%,"15,587","10,922",70.10%,"4,665",29.90%,"68,012","47,518",69.90%,"20,494",30.10%,"8,901","5,686",63.90%,"3,215",36.10%,"3,676","1,992",54.20%,"1,684",45.80%,,,,,,,
Transportation occupations,"19,794","16,426",83.00%,"3,368",17.00%,"13,145","11,309",86.00%,"1,836",14.00%,"13,152","9,425",71.70%,"3,727",28.30%,"14,763","12,701",86.00%,"2,062",14.00%,"53,268","45,656",85.70%,"7,612",14.30%,"17,690","14,390",81.30%,"3,300",18.70%,"5,947","4,535",76.30%,"1,412",23.70%,,,,,,,
Material moving occupations,"20,090","13,903",69.20%,"6,187",30.80%,"8,993","6,688",74.40%,"2,305",25.60%,"13,559","9,988",73.70%,"3,571",26.30%,"13,797","9,514",69.00%,"4,283",31.00%,"71,377","47,857",67.00%,"23,520",33.00%,"8,061","5,837",72.40%,"2,224",27.60%,"3,973","3,255",81.90%,718,18.1%,,,,,,,
